Code SIPeC,Etiquette SIPeC,Code Holland - 1,Code Holland - 2,Code Holland - 3
94151.01,"Cadreurs/cadreuses graphiques, les scannéristes, les pelliculeurs et les assembleurs",R,C,i
94151.02,Acidograveurs et les graveurs,R,C,i
94151.03,"Techniciens/Techniciennes de prépresse, les clicheurs, les tireurs d'épreuves photographiques, et les opérateurs d’équipement de prémise en train et à la préparation de dossiers",R,C,i
94152.00,Opérateurs/opératrices de machines à relier et de finition,R,C,
94153.00,Développeurs/développeuses de films et de photographies,R,C,i
94200.01,Assembleurs/assembleuses de véhicules automobiles,R,C,
94200.02,Contrôleurs/contrôleuses et vérificateurs/vérificatrices de véhicules automobiles,R,C,I
94201.01,Assembleurs/assembleuses de matériel électronique,R,C,
94201.02,Contrôleurs et les vérificateurs de matériel électronique,R,I,C
94202.01,"Monteurs/monteuses  dans la fabrication de matériel, d'appareils et d'accessoires électriques",R,C,
94202.02,"Contrôleurs/contrôleuses dans la fabrication de matériel, d'appareils et d'accessoires électriques",R,I,C
94203.01,"Assembleurs/assembleuses,  dans la fabrication de transformateurs et de moteurs électriques industriels",R,C,
94203.02,Ajusteurs et câbleurs dans la fabrication de transformateurs et de moteurs électriques industriels,R,C,i
94203.03,Vérificateurs dans la fabrication de transformateurs et de moteurs électriques industriels,R,I,C
94204.01,Monteurs/monteuses de matériel mécanique,R,C,
94204.02,Contrôleurs/contrôleuses de matériel mécanique,C,R,I
94205.01,Opérateurs/opératrices de machines dans la fabrication d'appareils électriques,R,C,
94205.02,Contrôleurs/contrôleuses et essayeurs/essayeuses dans la fabrication d'appareils électriques,R,I,C
94210.01,Monteurs/monteuses de meubles et d'accessoires,R,A,
94210.02,Finisseurs de meubles,R,A,I
94210.03,Restaurateurs/Restauratrices de meubles,R,A,
94210.04,Contrôleurs/contrôleuses de meubles et d'accessoires,R,C,I
94211.01,Monteurs/monteuses d'autres produits en bois,R,C,
94211.02,Contrôleurs/contrôleuses d'autres produits en bois,R,C,I
94212.01,Assembleurs/assembleuses et finisseurs/finisseuses de produits en plastique,R,C,
94212.02,Contrôleurs/contrôleuses de produits en plastique,R,C,I
94213.01,Peintres et enduiseurs/enduiseuses – secteur industriel,R,C,
94213.02,Opérateurs/opératrices d'équipement de métallisation et de galvanisation et personnel assimilé,R,C,
94219.01,Monteurs/monteuses et finisseurs/finisseuses de produits divers,R,C,
94219.02,Contrôleurs/controlleuses de produits divers,R,C,I
95100.00,Manoeuvres dans le traitement des métaux et des minerais,R,C,
95101.00,Manoeuvres en métallurgie,R,C,
95102.00,Manoeuvres dans le traitement des produits chimiques et les services d'utilité publique,R,C,
95103.00,Manoeuvres dans le traitement des pâtes et papiers et la transformation du bois,R,C,
95104.00,Manoeuvres dans la fabrication des produits en caoutchouc et en plastique,R,C,
95105.01,Manoeuvres des produits du textile,R,C,
95105.02,Coupeurs/coupeuses de tissu,R,C,
95105.03,Coupeurs/coupeuses de fourrure,R,C,
95105.04,Coupeurs/coupeuses de cuir,R,C,
95106.00,Manoeuvres dans la transformation des aliments et des boissons,R,C,
95107.00,Manoeuvres dans la transformation du poisson et des fruits de mer,R,C,
95109.00,"Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",R,C,
