Code de profil SIPeC,Codes exclus,Appellation d'emploi
92012.00,22111.01,inspecteur/inspectrice de produits de la pêche
92012.00,22111.04,surveillant/surveillante de l'inspection des viandes
92015.00,22100.01,technologue de la couleur des textiles
92015.00,22100.02,maître-teinturier/maîtresse-teinturière - textiles
92015.00,22302.01,technologue des textiles
92015.00,22302.02,technicien/technicienne des textiles
92015.00,72400.02,mécanicien/mécanicienne de machines textiles
92020.00,92023.00,surveillant/surveillante au montage de moteurs (sauf aéronefs)
92022.00,92024.00,contremaître/contremaîtresse de monteurs de menuiseries préfabriquées - fabrication d'articles en bois
92023.00,72020.00,superviseur/superviseure d'ajusteurs de machines
92023.00,72020.00,contremaître/contremaîtresse au montage de moteurs d'aéronef
92100.01,72400.01,mécanicien/mécanicienne de matériel de centrale nucléaire
92100.01,21300.00,
92100.01,21301.00,
92100.01,21310.00,
92100.01,21311.01,
92100.01,21311.02,
92100.01,21320.00,
92100.01,21321.00,
92100.01,21322.00,
92100.01,21390.00,
92100.01,21399.01,
92100.01,21399.02,
92100.01,21399.03,
92100.01,21399.04,
92100.01,21399.05,
92100.02,72400.01,mécanicien/mécanicienne de matériel de centrale nucléaire
92101.01,95102.00,préposé/préposée au traitement des eaux
92101.02,95102.00,préposé/préposée au traitement des eaux
93100.00,94101.02,opérateur/opératrice de machine à couler - fonderie
93100.00,94101.03,opérateur/opératrice de four de fonderie
93200.01,22313.03,installateur/installatrice de systèmes - avionique
93200.01,94213.01,peintre d'aéronefs
94102.01,94104.00,contrôleur/contrôleuse de verre
94102.01,94202.01,fabricant/fabricante d'enseignes au néon
94102.01,53124.02,
94102.02,94104.00,contrôleur/contrôleuse de verre
94102.02,94202.01,fabricant/fabricante d'enseignes au néon
94102.02,53124.02,
94102.03,94104.00,contrôleur/contrôleuse de verre
94102.03,94202.01,fabricant/fabricante d'enseignes au néon
94102.03,53124.02,
94102.04,94202.01,fabricant/fabricante d'enseignes au néon
94102.04,53124.02,
94103.01,53124.01,artisan sculpteur/artisane sculpteure
94103.01,72320.00,maçon/maçonne en pierres
94103.01,53122.02,
94103.01,53124.04,
94103.02,53124.01,artisan sculpteur/artisane sculpteure
94103.02,72320.00,maçon/maçonne en pierres
94103.02,94104.00,contrôleur/contrôleuse de produits de béton
94103.02,94104.00,inspecteur/inspectrice de pierres - traitement des produits minéraux
94103.02,53122.02,
94103.02,53124.04,
94103.03,53124.01,artisan sculpteur/artisane sculpteure
94103.03,72320.00,maçon/maçonne en pierres
94103.03,94104.00,contrôleur/contrôleuse de produits de béton
94103.03,94104.00,inspecteur/inspectrice de pierres - traitement des produits minéraux
94103.03,53122.02,
94103.03,53124.04,
94104.00,22101.01,essayeur/essayeuse - minéralogie
94104.00,22101.01,analyste du contrôle métallurgique
94106.00,22302.01,programmeur/programmeuse de machines de mesure des coordonnées à commande numérique par ordinateur (MMC/CNC)
94106.00,22302.01,programmeur/programmeuse en conception et fabrication assistées par ordinateur (CFAO)
94123.01,22100.01,technologue des produits forestiers
94123.01,22112.00,mesureur/mesureuse de billes
94123.01,22302.01,technologue en production - scierie
94123.02,22100.01,technologue des produits forestiers
94123.02,22112.00,mesureur/mesureuse de billes
94123.02,22302.01,technologue en production - scierie
94130.02,22100.01,technologue de la couleur des textiles
94130.02,22100.02,maître-teinturier/maîtresse-teinturière - textiles
94131.00,53124.07,artisan-tisserand/artisane-tisserande
