Code SIPeC - Final,Etiquette SIPeC - Final,Comprehension de lecture,Redaction,Numeratie,Litteratie numerique,Communication verbale : ecoute active,Communication verbale : comprehension orale,Communication verbale : expression orale,Pensee critique,Prise de decisions,Evaluation,Strategies d'apprentissage et d'enseignement,Resolution de problemes,Analyse de systemes,Production numerique,Maintenance preventive,Selection des equipements et d'outils,Fonctionnement et controle,Surveillance fonctionnement des equipements et de la machinerie,Test de controle de la qualite,Reparer,Ajustage -- montage,Conception de produit,Depannage,Gestion des ressources financieres,Gestion des ressources materielles,Gestion des ressources humaines,Suivi de performance,Gestion du temps,Coordination,Instruire,Negociation,Persuasion,Perception sociale
21112,"Agronomes, conseillers/conseillères et spécialistes en agriculture",4,4,3,3,4,4,4,4,4,4,4,4,4,0,0,0,2,2,2,0,0,0,1,3,3,3,4,3,4,4,3,4,3
21120,Professionnels/professionnelles de la santé et sécurité publique et environnementale,4,4,4,3,4,4,4,4,4,4,4,4,4,0,0,1,3,3,4,0,0,0,3,1,2,3,5,3,3,4,3,3,3
21200,Architectes,4,4,5,4,4,4,5,4,4,4,3,4,4,0,0,1,1,1,4,0,0,4,1,5,4,4,5,4,4,3,4,4,3
21201,Architectes paysagistes,4,4,3,4,3,4,3,3,3,4,3,4,3,0,0,1,2,3,3,0,0,4,1,4,4,3,3,3,4,3,3,4,3
21202,Urbanistes et planificateurs/planificatrices de l'utilisation des sols,4,4,4,4,3,4,3,4,4,5,3,4,4,0,0,1,0,1,2,0,0,4,0,4,3,3,3,4,4,3,3,4,3
21203,Arpenteurs-géomètres/arpenteuses-géomètres,3,3,4,4,3,4,3,3,3,4,4,4,3,0,2,3,3,4,3,1,0,2,2,2,3,3,3,3,3,4,3,3,2
21210.01,Mathématiciens/mathématiciennes,5,5,5,5,3,5,4,5,4,4,5,5,5,3,0,3,0,0,1,0,0,0,0,0,1,2,2,3,2,3,2,3,2
21210.02,Statisticiens/statisticiennes,5,5,5,5,3,5,4,5,4,4,4,5,4,3,0,3,0,0,1,0,0,0,0,0,1,2,2,3,2,3,2,3,2
21210.03,Actuaires,5,4,5,5,3,4,4,5,4,5,4,5,5,3,0,3,0,1,2,0,0,0,0,5,2,2,3,3,2,3,3,3,2
21211,Scientifiques de données,4,3,5,5,3,4,4,4,4,4,4,4,5,3,0,3,0,0,0,0,0,0,3,0,2,2,3,3,3,3,2,3,2
21220,Spécialistes de la cybersécurité,3,3,3,4,3,4,4,4,4,4,4,4,4,3,1,4,0,0,0,1,0,0,4,0,1,2,4,3,2,3,3,3,2
21221,Spécialistes des systèmes commerciaux,4,4,4,4,4,4,4,4,4,5,4,4,4,4,1,4,0,0,0,1,0,0,4,3,2,3,4,4,4,4,4,4,3
21222,Spécialistes en informatique,4,4,4,4,4,4,4,4,4,5,3,4,4,4,1,4,0,0,0,1,0,0,5,2,2,2,4,4,3,4,3,3,3
21223.01,Analystes de bases de données,4,3,4,4,3,4,3,4,4,4,3,4,4,3,0,3,0,0,0,1,0,0,2,0,3,2,3,3,3,3,3,3,2
21223.02,Administrateurs/administratrices de données,4,4,4,3,3,4,3,4,4,4,3,4,4,2,0,3,0,0,0,1,0,0,4,0,3,3,4,3,3,4,2,3,3
21230,Développeurs/développeuses et programmeurs/programmeuses de systèmes informatiques,3,3,3,5,3,4,4,4,3,4,3,4,4,5,0,3,0,0,0,0,0,0,5,0,1,2,3,3,2,3,2,3,2
21231,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel,4,3,4,5,3,4,4,4,4,5,4,4,4,5,0,4,0,0,0,0,0,0,5,0,3,3,4,3,3,3,3,3,2
21232,Développeurs/développeuses et programmeurs/programmeuses de logiciels,3,3,3,5,3,4,4,4,3,5,4,4,4,5,0,4,0,0,0,0,0,0,5,0,2,3,3,3,3,3,3,3,2
21233,Concepteurs/conceptrices Web,3,3,3,4,3,4,4,3,3,4,4,4,4,3,0,3,0,0,0,0,0,0,4,0,2,3,3,3,3,3,3,3,3
21234,Développeurs/développeuses et programmeurs/programmeuses Web,3,3,3,5,3,4,4,4,3,4,4,4,4,5,0,3,0,0,0,0,0,0,4,0,2,2,3,3,2,3,3,3,2
21300,Ingénieurs civils/ingénieures civiles,5,4,5,4,3,5,5,5,5,5,4,5,5,4,5,2,4,5,5,4,4,5,2,4,4,4,4,5,4,3,4,4,3
21301,Ingénieurs mécaniciens/ingénieures mécaniciennes,5,4,5,4,3,5,5,5,5,5,4,5,5,4,5,4,4,5,5,4,4,5,5,4,4,4,4,4,4,4,3,4,3
21310,Ingénieurs électriciens et électroniciens/ingénieures électriciennes et électroniciennes,5,4,5,4,3,4,5,5,5,4,4,4,4,4,5,3,4,4,4,4,4,5,5,3,4,4,4,4,3,3,3,4,3
21311.01,Ingénieurs informaticiens/ingénieures informaticiennes et ingénieurs/ingénieures en matériel de télécommunications,5,4,4,5,3,4,5,4,5,5,4,5,4,5,3,5,4,5,3,4,4,0,5,3,3,4,3,3,3,4,3,4,2
21311.02,Ingénieurs/ingénieures en systèmes de réseaux et ingénieurs/ingénieures de la communication de données,5,4,5,5,3,4,5,4,5,5,4,5,5,5,5,5,4,5,4,4,4,0,5,3,3,4,3,3,3,4,3,4,3
21320,Ingénieurs chimistes/ingénieures chimistes,5,4,5,4,3,5,5,5,5,5,4,5,5,4,5,3,4,4,5,4,4,5,5,3,4,4,4,4,3,4,3,4,3
