OaSIS profile code,Additional information (EN)
21330.00,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21331.00,There is considerable mobility between engineering specializations at the less senior levels.
21331.00,Supervisory and senior positions in this unit group require experience.
21331.00,"Geological engineers work closely with geologists and other scientists and engineers, and mobility is possible between some fields of specialization."
21331.00,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21332.00,There is mobility between petroleum engineering specializations at the less senior levels.
21332.00,Supervisory and senior positions in this unit group require experience.
21332.00,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21332.00,"Petroleum engineers may specialize in drilling, production, reservoir analysis or subsea operations."
21390.00,There is considerable mobility between aerospace engineering specializations at the less senior levels.
21390.00,Supervisory and senior positions in this unit group require experience.
21390.00,Aerospace engineers work closely with other scientists and engineers and mobility is possible between some fields of specialization.
21390.00,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21399.01,There is limited mobility between the engineering specializations included in this unit group.
21399.01,Supervisory and senior positions in this unit group require experience.
21399.01,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21399.02,There is limited mobility between the engineering specializations included in this unit group.
21399.02,Supervisory and senior positions in this unit group require experience.
21399.02,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21399.03,There is limited mobility between the engineering specializations included in this unit group.
21399.03,Supervisory and senior positions in this unit group require experience.
21399.03,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21399.04,There is limited mobility between the engineering specializations included in this unit group.
21399.04,Supervisory and senior positions in this unit group require experience.
21399.04,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21399.05,There is limited mobility between the engineering specializations included in this unit group.
21399.05,Supervisory and senior positions in this unit group require experience.
21399.05,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
22100.01,Considerable mobility is possible among jobs within this occupational group.
22100.01,Progression to managerial positions is possible with experience.
22100.01,Some chemical technologists and technicians working in support of fundamental research in chemistry or biochemistry are university graduates.
22100.02,Considerable mobility is possible among jobs within this occupational group.
22100.02,Progression to managerial positions is possible with experience.
22100.02,Some chemical technologists and technicians working in support of fundamental research in chemistry or biochemistry are university graduates.
22101.01,There is limited mobility among occupations in this group.
22101.01,Mobility may be possible between geophysical technology and electronic technology.
22101.01,Mobility may be possible between some occupations in this group and related fields of civil engineering technology.
22101.02,There is limited mobility among occupations in this group.
22101.02,Mobility may be possible between geophysical technology and electronic technology.
22101.02,Mobility may be possible between some occupations in this group and related fields of civil engineering technology.
22110.01,There is limited mobility among occupations in this group.
22110.01,Some technologists and technicians working in support of government and academic research in biology are university graduates.
22110.02,There is limited mobility among occupations in this group.
22110.02,Some technologists and technicians working in support of government and academic research in biology are university graduates.
22111.01,Progression to managerial positions in this field is possible with experience.
22111.02,Progression to managerial positions in this field is possible with experience.
22111.03,Progression to managerial positions in this field is possible with experience.
22111.04,Progression to managerial positions in this field is possible with experience.
22111.05,Progression to managerial positions in this field is possible with experience.
22112.00,Mobility may be possible to occupations in natural resource and wildlife management and in parks management.
22113.00,Progression to senior and supervisory positions is possible with experience.
22114.01,The Red Seal endorsement allows for interprovincial mobility.
22114.02,The Red Seal endorsement allows for interprovincial mobility.
22114.03,The Red Seal endorsement allows for interprovincial mobility.
22114.04,The Red Seal endorsement allows for interprovincial mobility.
22114.05,The Red Seal endorsement allows for interprovincial mobility.
22114.06,The Red Seal endorsement allows for interprovincial mobility.
22114.07,The Red Seal endorsement allows for interprovincial mobility.
22210.00,"There is mobility to other related occupations such as drafters, civil engineering technologists and technicians, construction estimators and construction inspectors."
22210.00,Progression to supervisory positions is possible with experience.
22211.00,There is mobility between positions in this unit group.
22211.00,Mobility is possible to other design occupations.
22212.01,"Mobility is possible to civil, mechanical, electrical or other engineering design technologies through educational or work specialization."
22212.01,Senior and supervisory drafting and design technology workers require experience.
22212.02,"Mobility is possible to civil, mechanical, electrical or other engineering design technologies through educational or work specialization."
22212.02,Senior and supervisory drafting and design technology workers require experience.
22213.01,Mobility is possible between the various occupations in this unit group.
22213.01,Progression to supervisory positions is possible with experience.
22213.01,Progression to land surveyor position is possible with completion of professional surveyor examinations and certification.
22213.01,"Geomatics is an interdisciplinary field encompassing the collection, analysis and presentation of geographically referenced data."
22213.01,"Land survey technologists and technicians may specialize in one of the following types of surveys: geodetic survey, topographic survey, legal (cadastral) survey or engineering survey."
22213.02,Mobility is possible between the various occupations in this unit group.
22213.02,Progression to supervisory positions is possible with experience.
22213.02,Progression to land surveyor position is possible with completion of professional surveyor examinations and certification.
22213.02,"Geomatics is an interdisciplinary field encompassing the collection, analysis and presentation of geographically referenced data."
22213.02,"Land survey technologists and technicians may specialize in one of the following types of surveys: geodetic survey, topographic survey, legal (cadastral) survey or engineering survey."
22214.01,"Geomatics is an interdisciplinary field encompassing the collection, analysis and presentation of geographically referenced data."
22214.01,Mobility is possible between some occupations in this unit group.
22214.02,"Geomatics is an interdisciplinary field encompassing the collection, analysis and presentation of geographically referenced data."
22214.02,Mobility is possible between some occupations in this unit group.
22214.03,"Geomatics is an interdisciplinary field encompassing the collection, analysis and presentation of geographically referenced data."
22214.03,Mobility is possible between some occupations in this unit group.
22214.04,"Geomatics is an interdisciplinary field encompassing the collection, analysis and presentation of geographically referenced data."
22214.04,Mobility is possible between some occupations in this unit group.
22214.05,"Geomatics is an interdisciplinary field encompassing the collection, analysis and presentation of geographically referenced data."
22214.05,Mobility is possible between some occupations in this unit group.
22220.01,"Progression to computer programming, interactive media development, Web development or systems analysis is possible with experience."
22220.02,"Progression to computer programming, interactive media development, Web development or systems analysis is possible with experience."
22221.00,"Progression to computer programming, interactive media development, Web development or systems analysis is possible with experience."
22222.00,"Progression to computer programming, interactive media development, Web development or systems analysis is possible with experience."
22233.00,Progression to construction management positions is possible with experience.
22300.01,"There is mobility to related occupations, such as drafting technologists and technicians and construction inspectors and estimators."
22300.01,Progression to construction supervisors or construction managers is possible with experience.
22300.02,"There is mobility to related occupations, such as drafting technologists and technicians and construction inspectors and estimators."
22300.02,Progression to construction supervisors or construction managers is possible with experience.
22301.01,There is mobility to other related occupations such as technical sales or drafting technologists and technicians.
22301.01,"Progression to supervisory occupations such as mechanical construction supervisor, manufacturing supervisor or operations maintenance manager is possible with experience."
22301.02,There is mobility to other related occupations such as technical sales or drafting technologists and technicians.
22301.02,"Progression to supervisory occupations such as mechanical construction supervisor, manufacturing supervisor or operations maintenance manager is possible with experience."
22302.01,There is mobility to related fields such as technical sales.
22302.01,Progression to managerial positions is possible with experience.
22302.01,"Technologists and technicians in this unit group may specialize in the development of production processes, quality assurance programs, plans and schedules in a particular industrial area such as metal fabrication, plastics, pulp and paper, or textile manufacturing."
22302.02,There is mobility to related fields such as technical sales.
22302.02,Progression to managerial positions is possible with experience.
22302.02,"Technologists and technicians in this unit group may specialize in the development of production processes, quality assurance programs, plans and schedules in a particular industrial area such as metal fabrication, plastics, pulp and paper, or textile manufacturing."
22303.00,"Progression to more senior positions in this unit group, such as senior estimator or to construction management positions is possible with experience."
22303.00,"Estimators may specialize in estimating costs for structural, electrical or mechanical construction projects."
22310.01,"There is mobility to other related occupations such as technical sales, electronics service technicians, instrument technicians and avionics technicians."
22310.01,"Progression to managerial positions in engineering, production or operations is possible with experience."
22310.02,"There is mobility to other related occupations such as technical sales, electronics service technicians, instrument technicians and avionics technicians."
