OaSIS profile code,Additional information (EN)
31202.00,"Physiotherapists may focus their practice in particular clinical areas such as neurology, oncology, rheumatology, orthopedics, obstetrics, pediatrics, geriatrics, in the treatment of patients with cardiovascular and cardiopulmonary disorders, burns or sports injuries or in the field of ergonomics."
31203.00,Occupational therapists may progress to management or administrative positions through further training and experience.
31203.00,"Occupational therapists may specialize in working with specific populations such as children or adults, or persons with distinct problems such as dementia, traumatic brain injury and chronic pain, or provide special interventions such as return-to-work programs."
31204.01,There is no mobility between the different occupations in this unit group.
31204.02,There is no mobility between the different occupations in this unit group.
31209.02,"Chiropodist and podiatrist titles are used interchangeably, depending on the province or territory. The use of the podiatrist job title does not necessarily refer to doctors of podiatric medicine (D.P.M.)."
31209.04,Doctors of osteopathic medicine may obtain a licence as general practitioners.
31300.00,"Progression to management positions, such as director of nursing, is possible with experience."
31301.01,Registered nurses and registered psychiatric nurses may progress to supervisory and managerial positions with experience.
31301.01,"Registered nurses may specialize in areas such as surgery, obstetrics care, psychiatric care, critical care, pediatrics, geriatrics, community health, occupational health, emergency care, rehabilitation or oncology."
31301.04,"Nurses trained exclusively as registered psychiatric nurses (RPN) are regulated in Manitoba, Saskatchewan, Alberta and British Columbia. In all other provinces and territories, registered nurses (RN) may work as psychiatric nurses without separate registration."
31301.04,Registered nurses and registered psychiatric nurses may progress to supervisory and managerial positions with experience.
31302.00,There is little to no mobility between nurse practitioner specializations without further training.
31303.01,There is no mobility between these occupations without further training.
31303.02,There is no mobility between these occupations without further training.
31303.03,There is no mobility between these occupations without further training.
31303.04,There is no mobility between these occupations without further training.
31303.04,Orthoptists may also be trained as ophthalmic technicians or technologists.
31303.04,"Orthoptists often work as part of a medical team which includes ophthalmologists, opticians and other ophthalmic medical personnel."
31303.05,There is no mobility between these occupations without further training.
32101.01,Working under the direction of a medical practitioner or registered nurse is not required for licensed practical nurses in all jurisdictions.
32103.01,"Supervisory and instructor positions in this unit group require experience in their respective fields as a respiratory therapist, clinical perfusionist or cardiopulmonary technologist."
32103.01,"Respiratory therapists may work in specific areas of practice such as anesthesia, critical care, neonatal and pediatrics, cardiopulmonary diagnostics, respiratory home and community care, research and private health industry."
32103.02,"Supervisory and instructor positions in this unit group require experience in their respective fields as a respiratory therapist, clinical perfusionist or cardiopulmonary technologist."
32103.03,"Supervisory and instructor positions in this unit group require experience in their respective fields as a respiratory therapist, clinical perfusionist or cardiopulmonary technologist."
32104.00,"With experience, animal health technologists and veterinary technicians may progress to supervisory positions."
32109.01,"In Quebec, hearing instruments practitioners provide services to adults and children."
32109.03,"Ophthalmic medical technicians may progress to ophthalmic medical technologists’ positions with training, experience and certification."
32109.03,Certified Ophthalmic Technician and Certified Ophthalmic Medical Technologist may have additional specialty certification such as Registered Ophthalmic Ultrasound Biometrist (ROUB) or Certified Diagnostic Ophthalmic Sonographer (CDOS).
32109.05,In most provinces occupational therapy assistants (OTA) and physiotherapy assistants (PTA) receive training through a single OTA/PTA program in community colleges.
32120.00,"Medical laboratory technologists may specialize in areas such as clinical chemistry, clinical microbiology, hematology, histotechnology, transfusion medicine or immunohematology, cytotechnology, cytogenetics and molecular genetics."
32120.00,In Quebec medical laboratory technologists are referred to as les technologistes médicaux and are regulated by L’Ordre professionnel des technologistes médicaux du Québec (L’OPTMQ).
32121.01,There is no mobility between the four types of medical radiation technologists without further training.
32121.01,Experience as a medical radiation technologist is required for supervisors and instructors.
32121.01,"Radiological technologists may specialize in areas such as computerized tomography, angiography, mammography or interventional radiology."
32121.02,There is no mobility between the four types of medical radiation technologists without further training.
32121.02,Experience as a medical radiation technologist is required for supervisors and instructors.
32121.03,There is no mobility between the four types of medical radiation technologists without further training.
32121.03,Experience as a medical radiation technologist is required for supervisors and instructors.
32121.03,"Radiation therapists may specialize in areas such as dosimetry, stereotaxy, computed tomography (CT) simulation or brachytherapy."
32121.04,There is no mobility between the four types of medical radiation technologists without further training.
32121.04,Experience as a medical radiation technologist is required for supervisors and instructors.
32121.04,Magnetic resonance technologists are included in radiological technologists in Quebec.
32122.00,Membership in the Canadian Society of Diagnostic Medical Sonographers is available but voluntary.
32122.00,"Medical sonographers may specialize in abdominal, cardiac, cerebral, obstetrical and gynaecological, ophthalmic, intraluminal or peripheral vascular sonography. They may also specialize in adult or pediatric echocardiography or neurosonology."
32124.00,Pharmacy technicians may progress to supervisory positions with experience.
32129.04,Prosthetic and orthotic technicians may become certified prosthetists or orthotists with an additional two years of experience as a registered prosthetic or orthotic technician and completion of certification examinations by the Canadian Board of Certification of Prosthetists and Orthotists.
32201.00,Massage therapists may be trained in various specialized massage techniques.
33100.01,"In some provinces there are two levels of dental assistants: Level I - chair-side assistant and Level II - intra-oral assistant. Progression from Level I to Level II is possible with education, training and licensure."
33100.02,"Dental laboratory assistants may progress to dental technologist and technician positions with training, experience and registration."
33101.00,Some employers may require medical laboratory technicians to have a diploma.
33101.00,"Medical laboratory technicians may progress to supervisory or technologist positions with a combination of additional education, training and experience."
33109.04,Ophthalmic assistants may progress to ophthalmic technician positions with training and experience.
33109.04,Certified Ophthalmic Assistants may also have additional specialty certification such as Registered Ophthalmic Ultrasound Biometrist (ROUB) or Certified Diagnostic Ophthalmic Sonographer (CDOS).
40010.00,Progression to senior management positions in the health and social policy fields is possible with experience.
40011.00,Progression to senior management positions is possible with experience.
40012.00,Progression to senior management positions in education is possible with experience.
40019.00,Progression to senior management positions in this field is possible with experience.
40020.01,There is no mobility among the various types of administrators in this group.
40020.01,Progression to some senior management positions in education is possible with experience.
40020.02,There is no mobility among the various types of administrators in this group.
40020.02,Progression to some senior management positions in education is possible with experience.
40020.03,There is no mobility among the various types of administrators in this group.
40020.03,Progression to some senior management positions in education is possible with experience.
40021.01,"There is little mobility between institutional settings, for example, between elementary and secondary schools."
40021.02,"There is little mobility between institutional settings, for example, between elementary and secondary schools."
40030.00,"Progression to senior management positions in social, community and correctional services is possible with additional training and experience."
40040.00,"Depending on provincial and territorial legislation, deputy chief coroners and deputy chief medical examiners may act as or be appointed to the position of chief coroner and chief medical examiner in their absence."
40042.00,Senior commissioned officers are classified according to their military rank.
41100.00,"Judges may specialize in particular areas of law such as civil, criminal or family law."
41101.00,"Lawyers wishing to practise in another province or territory are required to pass examinations set by the provincial or territorial law society, except in New Brunswick and Saskatchewan where the National Mobility Agreement (2013) was implemented."
41101.00,"Lawyers and Quebec notaries may specialize in specific areas of the law such as criminal law (lawyers only), corporate law, contract law, taxation law, administrative law, international law, commercial law, real estate law, family and estate law, intellectual property law and labour law."
41200.00,University professors who are also practitioners in their field of specialization must have the appropriate licences or certification.
41200.00,"Progression to senior positions within a department, faculty or university is possible with experience."
41200.00,"University professors and lecturers specialize in a particular subject matter such as biology, chemistry, anatomy, sociology, business administration or law."
41201.01,Post-secondary teaching and research assistants specialize in a subject matter based on their field of study.
41201.02,Post-secondary teaching and research assistants specialize in a subject matter based on their field of study.
41210.00,"These instructors specialize in particular fields or areas of study such as visual arts, dental hygiene, welding, engineering technology, policing, computer software, management and early childhood education."
41220.00,Progression to vice-principal or other administrative positions in the education system is possible with experience.
41220.00,"In Quebec, trades training programs are usually offered in the secondary school system."
41220.00,"Secondary school teachers may specialize in such areas as mathematics, English, French, special education or second language instruction. Secondary school teachers of vocational and trades subjects may specialize in areas such as hairdressing or auto mechanics."
41221.00,Progression to education consultant or school principal is possible with experience.
41221.00,Elementary school and kindergarten teachers may specialize in such areas as special education or second language instruction.
41300.00,"Social workers may specialize in fields of practice such as child welfare, family services, corrections, gerontology or addictions."
41301.00,Counselling therapists usually become specialized in a particular area through continual training and experience.
41301.00,Progression to social service management positions is possible with additional training and experience.
41302.00,"Progression to senior positions included in this unit group, within a religious order, is possible with experience."
41310.01,"For police investigators, progression to commissioned police officer positions is possible with additional training and experience."
41310.02,"For coroners and medical examiners, progression to deputy chief coroner or deputy chief medical officer positions is possible with additional training and experience."
41311.00,Progression to correctional service management positions is possible with additional training or experience.
41320.00,Elementary school counsellors generally provide more social and personal counselling whereas academic counselling is provided more by high school counsellors.
41320.00,"Educational counsellors in colleges, universities and other settings may specialize in academic, career or personal issues counselling."
41320.00,"Vocational counsellors in Quebec may also provide professional orientation to individuals with a mental illness, disabilities, and those with adaptation difficulties. Those with specific training may also perform certain mental health assessment."
41321.00,Mobility to positions in personnel or training is possible.
41321.00,Progression to supervisory positions is possible through experience.
41321.00,"Vocational counsellors provide specialized career development services to individuals with physical  illnesses or injuries, mental health illnesses, including individuals with disabilities. They require additional knowledge and experience to assess employment capabilities and develop associated employment plans."
41400.01,Progression to supervisory or managerial positions in these fields is possible with experience.
41400.02,Progression to supervisory or managerial positions in these fields is possible with experience.
41400.03,Progression to supervisory or managerial positions in these fields is possible with experience.
41400.04,Progression to supervisory or managerial positions in these fields is possible with experience.
41400.05,Progression to supervisory or managerial positions in these fields is possible with experience.
41401.00,Progression to managerial positions in economics is possible with experience.
41402.00,Progression to managerial positions is possible with experience.
41403.01,Progression to managerial positions is possible with experience.
41403.02,Progression to managerial positions is possible with experience.
41403.03,Progression to managerial positions is possible with experience.
41403.04,Progression to managerial positions is possible with experience.
41403.05,Progression to managerial positions is possible with experience.
41403.06,Progression to managerial positions is possible with experience.
41403.07,Progression to managerial positions is possible with experience.
41404.00,Progression to managerial positions is possible with experience.
41404.00,"Health policy researchers, consultants and program officers may specialize in a particular area of health policy development, research or program administration such as addiction research."
41405.00,Progression to managerial positions is possible with experience.
41406.01,"Mobility among recreation, sports and fitness consultants may be restricted within individual area of expertise."
41406.03,"Recreation, sports and fitness program supervisors may progress to recreation, sports and fitness management positions with experience."
41409.01,"Specialize in particular areas of social sciences and humanities disciplines. These include gerontologists (specialists in the phenomena and problems of aging), graphoanalysts (specialists in handwriting analysis) and others."
41409.01,Specialization usually exists within each of these occupations and is usually obtained through university study or through experience.
41409.02,"Specialize in particular areas of social sciences and humanities disciplines. These include gerontologists (specialists in the phenomena and problems of aging), graphoanalysts (specialists in handwriting analysis) and others."
41409.02,Specialization usually exists within each of these occupations and is usually obtained through university study or through experience.
41409.03,"Specialize in particular areas of social sciences and humanities disciplines. These include gerontologists (specialists in the phenomena and problems of aging), graphoanalysts (specialists in handwriting analysis) and others."
41409.03,Specialization usually exists within each of these occupations and is usually obtained through university study or through experience.
41409.04,"Specialize in particular areas of social sciences and humanities disciplines. These include gerontologists (specialists in the phenomena and problems of aging), graphoanalysts (specialists in handwriting analysis) and others."
41409.04,Specialization usually exists within each of these occupations and is usually obtained through university study or through experience.
41409.05,"Specialize in particular areas of social sciences and humanities disciplines. These include gerontologists (specialists in the phenomena and problems of aging), graphoanalysts (specialists in handwriting analysis) and others."
41409.05,Specialization usually exists within each of these occupations and is usually obtained through university study or through experience.
41409.06,"Specialize in particular areas of social sciences and humanities disciplines. These include gerontologists (specialists in the phenomena and problems of aging), graphoanalysts (specialists in handwriting analysis) and others."
41409.06,Specialization usually exists within each of these occupations and is usually obtained through university study or through experience.
41409.07,"Specialize in particular areas of social sciences and humanities disciplines. These include gerontologists (specialists in the phenomena and problems of aging), graphoanalysts (specialists in handwriting analysis) and others."
41409.07,Specialization usually exists within each of these occupations and is usually obtained through university study or through experience.
41409.08,"Specialize in particular areas of social sciences and humanities disciplines. These include gerontologists (specialists in the phenomena and problems of aging), graphoanalysts (specialists in handwriting analysis) and others."
41409.08,Specialization usually exists within each of these occupations and is usually obtained through university study or through experience.
41409.09,"Specialize in particular areas of social sciences and humanities disciplines. These include gerontologists (specialists in the phenomena and problems of aging), graphoanalysts (specialists in handwriting analysis) and others."
41409.09,Specialization usually exists within each of these occupations and is usually obtained through university study or through experience.
42100.00,Progression to investigative positions is possible with additional training and experience.
42101.00,Progression to senior positions such as fire chief is possible with additional training and several years of experience.
42102.00,Members of this unit group who demonstrate the required abilities and potential will be offered advanced training.
42200.03,Notaries public usually receive in-house training and perform their duties in rural or remote areas or in the business offices in which they are employed.
42200.05,"The duties and responsibilities of justices of the peace vary significantly depending on the level of their authority. They may be employed part-time on a fee-for-service basis in small communities. Their duties range from performing civil marriages, receiving affidavits and similar documents, to presiding in courts and hearing and determining prosecutions under provincial/territorial and federal laws."
42201.00,"Progression to professional occupations in social services, such as family and marriage counsellors, social workers, and probation and parole officers, is possible with additional training and experience."
42202.01,"Progression to senior positions, such as daycare supervisor, is possible with several years of experience or with experience and advanced ECE qualification levels."
42202.02,"Progression to senior positions, such as daycare supervisor, is possible with several years of experience or with experience and advanced ECE qualification levels."
43100.00,Mobility to other occupations related to child care and adolescent supportive instruction is possible with experience.
43200.00,"Sheriffs and bailiffs may also serve as court officers (14103), depending on the location and size of the courthouse."
43200.00,Progression to supervisory positions is possible with additional experience and in-house training.
43201.00,Primary workers are the primary daily contact for women offenders.
43202.02,By-law enforcement officers may specialize in the enforcement of one specific by-law.
43203.01,"Border services officers must be willing to work anywhere in Canada, including rural and remote areas."
43203.01,Progression to managerial positions in these fields is possible with experience.
43203.02,Progression to managerial positions in these fields is possible with experience.
43204.00,Members of this unit group who demonstrate the required abilities and potential will be offered advanced training.
44100.01,There is mobility among occupations in this group.
44100.02,There is mobility among occupations in this group.
44101.00,There is mobility among the occupations in this group.
44200.00,"As they progress in their careers, members of this unit group who demonstrate the required abilities and potential will be offered advanced training."
45100.01,There is limited mobility among occupations in this group.
45100.02,There is limited mobility among occupations in this group.
50010.00,There is mobility between library and archive managers and between museum and art gallery managers.
50010.00,"Library, archive, museum and art gallery managers may specialize in a specific type of collection."
51100.00,Progression to library management positions is possible with experience.
51101.01,Progression to museum or art gallery management positions is possible with experience.
51101.01,"Conservators and curators may specialize in a particular type of collection or material, such as furniture, weapons, books, paintings and musical instruments."
51101.02,Progression to museum or art gallery management positions is possible with experience.
51101.02,"Conservators and curators may specialize in a particular type of collection or material, such as furniture, weapons, books, paintings and musical instruments."
51102.00,Progression to archive management positions is possible with experience.
51110.00,"Progression to supervisory and management positions, such as editor-in-chief or managing editor, is possible with experience."
51110.00,"Editors may specialize in a particular subject area, such as news, sports or features, or in a particular type of publication, such as books, magazines, newspapers or manuals."
51111.01,Authors and writers may specialize in a particular subject or type of writing.
51111.02,Authors and writers may specialize in a particular subject or type of writing.
51111.03,Authors and writers may specialize in a particular subject or type of writing.
51113.00,Experienced reporters may advance to editorial positions (print media) or become producers (broadcast media).
51113.00,"Journalists may specialize in print, broadcast or Webcast media, in particular issues such as political affairs or entertainment news, or in a particular geographic area."
51114.01,"Translators, terminologists and interpreters specialize in two languages, such as French and English, the official languages of Canada. They may also specialize in another language and one of the official languages. The main areas of specialization include administrative, literary, scientific and technical translation. Interpreters may specialize in court, parliamentary or conference interpretation."
51114.02,"Translators, terminologists and interpreters specialize in two languages, such as French and English, the official languages of Canada. They may also specialize in another language and one of the official languages. The main areas of specialization include administrative, literary, scientific and technical translation. Interpreters may specialize in court, parliamentary or conference interpretation."
51114.03,"Translators, terminologists and interpreters specialize in two languages, such as French and English, the official languages of Canada. They may also specialize in another language and one of the official languages. The main areas of specialization include administrative, literary, scientific and technical translation. Interpreters may specialize in court, parliamentary or conference interpretation."
51114.04,Sign language interpreters work in French and Langue des signes québécoise (LSQ) or in English and American Sign Language (ASL).
51120.01,Membership in a related guild or union may be required.
51120.02,Membership in a related guild or union may be required.
51120.03,Membership in a related guild or union may be required.
51120.04,Membership in a related guild or union may be required.
51120.05,Membership in a related guild or union may be required.
51120.06,Membership in a related guild or union may be required.
51120.07,Membership in a related guild or union may be required.
51121.01,"Conductors, composers and arrangers usually specialize in a particular genre of music such as classical, country, jazz or popular."
51121.02,Composers often work as arrangers.
51121.02,"Conductors, composers and arrangers usually specialize in a particular genre of music such as classical, country, jazz or popular."
51121.03,"Conductors, composers and arrangers usually specialize in a particular genre of music such as classical, country, jazz or popular."
51122.01,"Musicians and singers usually specialize in specific genres of music such as classical, country, ethnic, jazz, opera or popular music."
51122.02,"Musicians and singers usually specialize in specific genres of music such as classical, country, ethnic, jazz, opera or popular music."
52110.00,Progression to supervisory or director of photography positions is possible with additional training and experience.
52111.00,Progression to graphic designer positions is possible with experience or supplementary training.
52114.00,Movement to occupations in journalism is possible for those with an educational background in journalism or a related field.
52119.01,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
52119.02,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
52119.03,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
52119.04,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
52119.05,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
52119.06,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
52119.07,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
52120.01,Progression to management or senior design positions is possible with experience.
52120.01,"The title ""registered graphic designer"" is recognized by law in Ontario."
52120.02,Progression to management or senior design positions is possible with experience.
52120.02,"Illustrators may specialize in a particular field such as illustrations for children, advertising, editorials, humour, or medical, scientific or technical illustration, or multimedia design."
52121.00,"Interior designers are experts in the area of interior architecture, construction materials and building codes. They may specialize in designing interiors for residential, commercial, institutional, cultural and industrial buildings and for aircraft, ships or trains, trade shows and exhibitions. 

Interior decorators may specialize in decorating residential or commercial interior spaces, home staging, colour consulting and home organizing."
53100.01,Technical museum and gallery workers may specialize in a specific type of collection.
53100.02,Technical museum and gallery workers may specialize in a specific type of collection.
53100.03,"Museum interpreters may require specific scientific or academic credentials for employment by some museums, nature centres or other sites."
53100.04,Technical museum and gallery workers may specialize in a specific type of collection.
53100.05,Technical museum and gallery workers may specialize in a specific type of collection.
53110.00,"Photographers may specialize in areas such as portrait photography, commercial photography, scientific photography, forensic photography, medical photography, digitized photography, multimedia photography or photojournalism."
53111.01,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
53111.01,"Progression to related technical occupations in motion pictures, broadcasting or the performing arts is possible with additional training or experience."
53111.02,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
53111.02,"Progression to related technical occupations in motion pictures, broadcasting or the performing arts is possible with additional training or experience."
53111.03,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
53111.03,"Progression to related technical occupations in motion pictures, broadcasting or the performing arts is possible with additional training or experience."
53111.04,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
53111.04,"Progression to related technical occupations in motion pictures, broadcasting or the performing arts is possible with additional training or experience."
53111.05,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
53111.05,"Progression to related technical occupations in motion pictures, broadcasting or the performing arts is possible with additional training or experience."
53111.06,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
53111.06,"Progression to related technical occupations in motion pictures, broadcasting or the performing arts is possible with additional training or experience."
53111.07,"There may be an overlap in duties among occupations in this unit group, depending on the size of the production or broadcasting studio."
53111.07,"Progression to related technical occupations in motion pictures, broadcasting or the performing arts is possible with additional training or experience."
53120.01,"Dancers may specialize in specific types of dance such as ballet, ballroom, folk, jazz or modern."
53123.01,"Theatre designers may specialize in costume, lighting or set design; fashion designers may specialize in men's, women's or children's apparel or in different lines such as sportswear, footwear or formal wear."
53123.01,Designers may advance to supervisory and management positions.
53123.02,Designers may advance to supervisory and management positions.
53123.03,Designers may advance to supervisory and management positions.
53125.00,Progression to supervisory positions is possible with experience.
55109.01,There is little mobility between the different occupations in this unit group.
55109.02,There is little mobility between the different occupations in this unit group.
55109.03,There is little mobility between the different occupations in this unit group.
55109.04,There is little mobility between the different occupations in this unit group.
60010.00,Progression to senior management positions is possible with experience.
60020.00,"There is some mobility between managers in this unit group, depending on the product or service."
60030.00,Progression to senior management in food service is possible with experience.
62010.00,Progression to management positions in retail trade is possible with additional training or experience.
62022.00,Progression to managerial positions is possible with additional training or experience.
62029.00,Progression to managerial positions is possible with additional training or experience.
62100.00,Extensive company training programs for technical sales specialists may be provided by employers.
62100.00,Progression to sales management positions is possible with additional training or experience.
62100.00,Technical sales specialists usually specialize in a particular line of goods or services.
62101.00,"Progression to management positions in retail trade, sales, marketing or advertising is possible with additional training or experience."
62101.00,Retail and wholesale buyers may specialize through experience or product-related training courses.
62101.00,Retail and wholesale buyers may specialize in a particular merchandise line.
62200.01,The Red Seal endorsement allows for interprovincial mobility.
62200.01,Executive chefs may progress to managerial positions in food preparation establishments.
62200.01,There is some mobility among the various types of chefs in this unit group.
62200.02,The Red Seal endorsement allows for interprovincial mobility.
62200.02,There is some mobility among the various types of chefs in this unit group.
62200.03,The Red Seal endorsement allows for interprovincial mobility.
62200.03,There is some mobility among the various types of chefs in this unit group.
62202.01,Mobility is possible among the various jewellery occupations in this unit group.
62202.01,There is little mobility between the jewellery occupations and the watch repairers in this unit group.
62202.01,"Jewellers may specialize in certain kinds of jewellery, such as gold or silver, or in particular operations, such as fabrication or repair."
62202.02,Mobility is possible among the various jewellery occupations in this unit group.
62202.02,There is little mobility between the jewellery occupations and the watch repairers in this unit group.
63100.00,Progression to insurance management positions is possible through experience.
63100.00,Completion of educational programs through the Insurance Institute of Canada or its provincial counterpart entitles agents to professional recognition as an Associate of the Insurance Institute of Canada (A.I.I.C.) or Fellow of the Insurance Institute of Canada (F.I.I.C.).
63100.00,Completion of educational courses through the Canadian Association of Insurance and Financial Advisors allows for various levels of professional designations for insurance and financial advisors.
63101.00,Real estate agents and salespersons normally work on a commission basis.
63101.00,Real estate agents may operate independently by obtaining a broker's licence in accordance with the regulations of the province of employment. A broker's licence is required to become a manager in real estate.
63101.00,"Real estate agents and salespersons may specialize in residential, commercial, industrial/institutional or rural real estate sales."
63102.00,Progression to credit and loan management positions is possible with experience.
63102.00,Progression to higher levels of financial planning and wealth management is possible with experience.
63200.00,The Red Seal endorsement allows for interprovincial mobility.
63200.00,There is mobility among the various types of cooks in this group.
63200.00,"Progression to supervisory or more senior positions, such as chef, is possible with experience and training."
63201.00,"Progression from Industrial Butcher positions and Industrial Meat Cutter positions to these higher skilled jobs is possible with experience and specialized on the job training in supermarkets, grocery stores, fish stores, butcher shops."
63202.00,The Red Seal endorsement allows for interprovincial mobility.
63210.01,The Red Seal endorsement allows for interprovincial mobility.
63210.02,The Red Seal endorsement allows for interprovincial mobility.
63211.01,There is little or no mobility among the different occupations in this unit group without additional specialized training.
63211.02,There is little or no mobility among the different occupations in this unit group without additional specialized training.
63211.03,There is little or no mobility among the different occupations in this unit group without additional specialized training.
63211.04,There is little or no mobility among the different occupations in this unit group without additional specialized training.
63211.05,There is little or no mobility among the different occupations in this unit group without additional specialized training.
63211.06,There is little or no mobility among the different occupations in this unit group without additional specialized training.
63211.07,There is little or no mobility among the different occupations in this unit group without additional specialized training.
63220.02,Shoe repairers may progress to shoemakers with experience.
63221.00,Progression to supervisory positions is possible with experience.
64100.01,"Retail salespersons may specialize and act as consultants in home entertainment systems, computers and other products and services."
64100.01,Technical or sales training programs may be provided by employers.
64100.01,Progression to retail supervisory positions is possible with additional training or experience.
64100.02,Technical or sales training programs may be provided by employers.
64101.00,Progression to sales management positions is possible with additional training or experience.
64301.00,Progression to managerial positions in food and beverage service is possible with experience.
64310.00,Progression to managerial positions is possible with experience.
64311.01,There is little mobility between airline pursers and ship pursers.
64311.01,It is an advantage for pursers and flight attendants to speak more than one language.
64311.02,There is little mobility between airline pursers and ship pursers.
64311.02,It is an advantage for pursers and flight attendants to speak more than one language.
64311.03,There is little mobility between airline pursers and ship pursers.
64312.01,"Depending on the size of the airline or airport, the duties of workers in this unit group may overlap."
64312.01,Progression to supervisory positions is possible with experience.
64312.02,"Depending on the size of the airline or airport, the duties of workers in this unit group may overlap."
64312.02,Progression to supervisory positions is possible with experience.
64312.03,"Depending on the size of the airline or airport, the duties of workers in this unit group may overlap."
64312.03,Progression to supervisory positions is possible with experience.
64313.01,Ticket agents and cargo service representatives may perform the same duties depending on the size and location of the operations.
64313.01,Progression to supervisory positions is possible through experience.
64313.02,Ticket agents and cargo service representatives may perform the same duties depending on the size and location of the operations.
64313.02,Progression to supervisory positions is possible through experience.
64314.00,Progression to senior positions such as accommodations manager is possible with additional training and experience.
64321.00,Progression to supervisory positions is possible with experience in all activities related to gaming.
64322.00,Outdoor sport and recreational guides usually work on a seasonal basis.
64400.00,Progression to supervisory positions is possible with experience.
64401.00,Progression to supervisory or facility management positions is possible with additional training or experience.
64409.00,Progression to supervisory positions is possible with experience.
65100.00,"Cashiers may progress to supervisory positions, such as head cashier, with additional training or experience."
65109.01,Progression to related supervisory positions is possible with additional training or experience.
65109.02,Progression to related supervisory positions is possible with additional training or experience.
65109.03,Progression to related supervisory positions is possible with additional training or experience.
65201.01,"Movement into other occupations within food preparation and service, such as cook or waiter, is possible with further training and experience."
65201.01,There is considerable mobility among jobs in this unit group.
65201.02,"Movement into other occupations within food preparation and service, such as cook or waiter, is possible with further training and experience."
65201.02,There is considerable mobility among jobs in this unit group.
65201.03,"Movement into other occupations within food preparation and service, such as cook or waiter, is possible with further training and experience."
65201.03,There is considerable mobility among jobs in this unit group.
65201.04,"Movement into other occupations within food preparation and service, such as cook or waiter, is possible with further training and experience."
65201.04,There is considerable mobility among jobs in this unit group.
65220.00,Progression to animal health technology occupations is possible with additional training.
65310.01,Progression to supervisory cleaning positions is possible with additional training or experience.
65310.02,Progression to supervisory cleaning positions is possible with additional training or experience.
65311.01,Progression to supervisory positions is possible with additional training or experience.
65311.02,Progression to supervisory positions is possible with additional training or experience.
65311.03,Progression to supervisory positions is possible with additional training or experience.
65311.04,Progression to supervisory positions is possible with additional training or experience.
65311.05,Progression to supervisory positions is possible with additional training or experience.
65312.00,Progression to supervisory positions is possible with additional training or experience.
65320.01,Progression to supervisory dry cleaning and laundry occupations is possible with additional training and experience.
65320.01,"Workers in this group may specialize in finishing suede, leather, fur and delicate articles."
65320.02,Progression to supervisory dry cleaning and laundry occupations is possible with additional training and experience.
65320.02,"Workers in this group may specialize in finishing suede, leather, fur and delicate articles."
65320.03,Progression to supervisory dry cleaning and laundry occupations is possible with additional training and experience.
65320.03,"Workers in this group may specialize in finishing suede, leather, fur and delicate articles."
70010.00,Progression to senior management positions is possible with experience.
70011.00,Progression to senior management positions is possible with extensive experience and training in management.
70020.01,There is little or no mobility between managers in transportation operations and managers in transportation freight traffic.
70020.01,"There is little or no mobility between transportation managers of land, sea and air transportation operations."
70020.02,There is little or no mobility between managers in transportation operations and managers in transportation freight traffic.
70020.02,"There is little or no mobility between transportation managers of land, sea and air transportation operations."
72010.00,"Small businesses' contractors may execute tasks within their trade area of expertise, which is generally not the case for supervisors or contractors associated with a medium or large business."
72011.00,"There is some mobility between jobs within a specific trade; however, there is little or no intertrade mobility."
72011.00,"Small businesses' contractors may execute tasks within their trade area of expertise, which is generally not the case for supervisors or contractors associated with a medium or large business."
72012.00,There is little or no intertrade mobility among the supervisors in this unit group.
72012.00,"Small businesses' contractors may execute tasks within their trade area of expertise, which is generally not the case for supervisors or contractors associated with a medium or large business."
72013.00,"There is some mobility among jobs within a specific trade; however, there is little or no intertrade mobility."
72013.00,"Small businesses' contractors may execute tasks within their trade area of expertise, which is generally not the case for supervisors or contractors associated with a medium or large business."
72014.00,There is little or no mobility among supervisors in this unit group.
72014.00,"Small businesses' contractors may execute tasks within their trade area of expertise, which is generally not the case for supervisors or contractors associated with a medium or large business."
72020.00,There is little or no intertrade mobility among the supervisors in this unit group.
72020.00,"Small businesses' contractors may execute tasks within their trade area of expertise, which is generally not the case for supervisors or contractors associated with a medium or large business."
72021.00,There is some mobility between occupations classified in this unit group.
72021.00,"Small businesses' contractors may execute tasks within their trade area of expertise, which is generally not the case for supervisors or contractors associated with a medium or large business."
72022.00,"Progression to management positions, such as department, production or plant manager, is possible with experience."
