Code de profil professionnel SIPeC,Etiquette
30010.00,Directeurs/directrices des soins de santé
31100.01,Anesthésiologistes
31100.02,"Internistes, généralistes"
31100.03,"Pédiatres, généralistes"
31100.04,Psychiatres
31100.05,Allergologues et immunologistes
31100.06,Hospitalistes
31100.07,Neurologues
31100.08,Médecins de médecine nucléaire
31100.09,Dermatologues
31100.10,Médecins de médecine physique et de réadaptation
31100.11,Médecins de médecine préventive
31100.12,Radiologues
31100.13,Autres spécialistes en médecine clinique
31100.14,"Spécialistes en médecine de laboratoire, y compris les pathologistes"
31101.01,Chirurgiens généraux
31101.02,Obstétriciens et gynécologues
31101.03,Ophtalmologistes
31101.04,Urologues
31101.05,Autres spécialistes en chirurgie
31102.00,Omnipraticiens/omnipraticiennes et médecins en médecine familiale
31103.00,Vétérinaires
31110.01,Dentistes
31110.02,Chirurgiens buccaux et maxillo-faciaux
31110.03,Orthodontistes
31110.04,Prosthodontistes
31111.00,Optométristes
31112.01,Audiologistes
31112.02,Orthophonistes
31120.01,Pharmaciens communautaires/pharmaciennes communautaires et pharmaciens/pharmaciennes d'hôpitaux
31120.02,Pharmaciens industriels/pharmaciennes industrielles
31121.00,Diététistes et nutritionnistes
31200.00,Psychologues
31201.00,Chiropraticiens/chiropraticiennes
31202.00,Physiothérapeutes
31203.00,Ergothérapeutes
31204.01,Thérapeute par les loisirs
31204.02,Kinésiologues et spécialistes en mécanothérapie
31209.01,Docteurs en médecine podiatrique
31209.02,Podologues et podiatres diplômés ou diplômés du premier degré
31209.03,Docteurs en médecine naturopathique
31209.04,Docteurs en médecine ostéopathique
31300.00,Coordonnateurs/coordonnatrices et superviseurs/superviseures des soins infirmiers
31301.01,Infirmiers autorisés/infirmières autorisées en soins généraux
31301.02,Infirmiers/infirmières en santé du travail
31301.03,Infirmiers/infirmières en santé communautaire
31301.04,Infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées
31301.05,Consultants/consultantes en soins infirmiers et chercheurs infirmiers/chercheuses infirmières en sciences infirmières
31301.06,Infirmiers cliniciens/infirmières cliniciennes
31302.00,Infirmiers praticiens/infirmières praticiennes
31303.01,Adjoints/adjointes au médecin
31303.02,Sages-femmes
31303.03,Conseillers/conseillères en génétique
31303.04,Orthoptistes
31303.05,Assistants/assistantes en pathologie
32100.00,Opticiens/opticiennes d'ordonnances
32101.01,Infirmiers auxiliaires/infirmières auxiliaires
32101.02,Techniciens de salle d'opération
32102.00,Personnel ambulancier et paramédical
32103.01,Inhalothérapeutes
32103.02,Perfusionnistes cardiovasculaires
32103.03,Technologues cardiopulmonaires
32104.00,Technologues en santé animale et techniciens/techniciennes vétérinaires
32109.01,Audioprothésistes
32109.02,Aides-orthophonistes et assistants en troubles de la communication
32109.03,Technologues et techniciens/techniciennes médicaux en ophtalmologie
32109.04,Thérapeutes en réadaptation physique
32109.05,Assistants/assistantes en physiothérapie et assistants/assistantes en ergothérapie
32110.00,Denturologistes
32111.01,Hygiénistes dentaires
32111.02,Thérapeutes dentaires
32112.00,Technologues et techniciens/techniciennes dentaires
32120.00,Technologues de laboratoires médicaux
32121.01,Technologues en radiologie
32121.02,Technologues en médecine nucléaire
32121.03,Technologues en radio-oncologie
32121.04,Technologues en résonance magnétique
32122.00,Technologues en échographie
32123.01,Technologues en cardiologie
32123.02,Technologues en électroencéphalographie (EEG) et Technologues en électromyographie (EMG)
32124.00,Techniciens/techniciennes en pharmacie
32129.01,Techniciens/techniciennes en diététique
32129.02,Ocularistes
32129.03,Prothésistes et orthésistes
32129.04,Techniciens prothésistes/techniciennes prothésistes et techniciens orthésistes/techniciennes orthésistes
32200.01,Praticiens/praticiennes de médecine traditionnelle chinoise
32200.02,Acupuncteurs/acupunctrices
32201.00,Massothérapeutes
32209.01,Herboristes
32209.02,Praticien/praticienne en médecine ostéopathique manuelle
32209.03,Homéopathes
32209.04,Réflexologues
32209.05,Nutritionniste holistique
32209.06,Naturothérapeute
