Code,Nom,Type de Structure,Categorie,Description
A03a02,Dextérité digitale,Descripteur,Habiletés,"L’habileté d'effectuer des mouvements précis et coordonnés des doigts d’une ou des deux mains pour attraper, manipuler ou assembler de petits objets. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A03a03,Dextérité manuelle,Descripteur,Habiletés,"L’habileté de bouger une main, une main avec un bras ou les deux mains pour saisir, manipuler ou assembler des objets ou outils. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A03b,Contrôler les habiletés de mouvement,Groupe de similitudes,Habiletés,
A03b01,Coordination motrice,Descripteur,Habiletés,L’habileté de coordonner la vue et le mouvement des mains et des doigts pour exécuter des mouvements précis. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A03b02,Maîtrise de la cadence,Descripteur,Habiletés,L’habileté de synchroniser ses mouvements ou ceux d’une pièce d'équipement en fonction du changement de la vitesse ou de la direction d’un objet en mouvement. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A03b03,Contrôle des réglages,Descripteur,Habiletés,L’habileté de régler les commandes d’une machine ou d’un véhicule à des positions exactes. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A03b04,Réaction à plusieurs signaux,Descripteur,Habiletés,"L’habileté de choisir rapidement entre un ou plusieurs mouvements avec la main, le doigt ou le pied en réponse à l’apparition de deux ou plusieurs signaux différents, tels que les lumières, sons ou images. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A03c,Habiletés de temps de réaction et de vitesse,Groupe de similitudes,Habiletés,
A03c01,Temps de réaction,Descripteur,Habiletés,"L’habileté de réagir rapidement avec un ou plusieurs membres dès l'apparition d'un stimulus, tel que le bruit, la lumière ou une image. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A03c02,Rapidité de mouvement des membres,Descripteur,Habiletés,L’habileté de bouger rapidement les bras et les jambes. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
