OaSIS profile code,Employment requirement
51121.02,"A period of specialized study related to conducting, composing or arranging is usually required."
51121.02,"A university degree in music or completion of a program at a music academy, conservatory or school of music is usually required."
51121.02,Experience as a musician is required.
51121.02,"Musical and creative talent and ability, as demonstrated by a portfolio of work, are important hiring criteria."
51121.03,"A period of specialized study related to conducting, composing or arranging is usually required."
51121.03,"A university degree in music or completion of a program at a music academy, conservatory or school of music is usually required."
51121.03,Experience as a musician is required.
51121.03,"Musical and creative talent and ability, as demonstrated by a portfolio of work, are important hiring criteria."
51122.01,Members of orchestras and other professional classical musicians and singers usually require a university degree in music.
51122.01,Membership in a guild or union related to the occupation or type of performance may be required.
51122.01,"Musical talent and ability, as demonstrated during an audition, are important hiring criteria."
51122.01,Musical training from a university or college or through private instruction is usually required
51122.02,Members of orchestras and other professional classical musicians and singers usually require a university degree in music.
51122.02,Membership in a guild or union related to the occupation or type of performance may be required.
51122.02,"Musical talent and ability, as demonstrated during an audition, are important hiring criteria."
51122.02,Musical training from a university or college or through private instruction is usually required.
51122.03,Musical training from a university or college or through private instruction is usually required.
51122.03,Membership in a guild or union related to the occupation or type of performance may be required.
51122.03,"Musical talent and ability, as demonstrated during an audition, are important hiring criteria."
52100.01,Library technicians usually require completion of a two- to three-year college program in library and information technology.
52100.02,Public archive technicians require completion of a college diploma or certificate program in archive and document management technology.
52110.00,"Completion of a college or technical program in broadcasting, audio-visual technology or a related field andexperience as an assistant camera operator are usually required."
52110.00,"Creative and technical ability, as demonstrated by a portfolio of work and experience, may be required."
52111.00,"A college diploma in commercial or graphic arts, computer graphics or animated design is required."
52111.00,"Creative ability and artistic talent, as demonstrated by a portfolio of work, are required."
52111.00,"Experience or training in multimedia design at a post-secondary, college or technical institution may be required."
52112.00,Completion of a college program in broadcast technology or electronics is usually required.
52112.00,Senior and supervisory positions in this unit group require experience.
52113.00,"Completion of a college or other program in recording engineering, audiovisual technology or a related field orexperience as a recording studio assistant is usually required."
52113.00,"Senior occupations in this unit group, such as recording and sound engineers, require experience."
52114.00,Completion of a college radio or television arts program is usually required.
52114.00,Membership in a guild or union related to the occupation or type of performance may be required.
52114.00,"Practical training, such as work at a college radio station, may be required."
52114.00,"Talent and ability, as demonstrated during an audition, are important hiring criteria."
52119.01,"For most occupations in this unit group, completion of a college or university program in broadcasting, theatre arts or a related field andseveral years of experience in a related support or assisting occupation in motion pictures, broadcasting or the performing arts are required."
52119.01,Floor managers require a portfolio of work.
52119.01,Membership in a related union may be required.
52119.02,"For gaffers, lighting technicians, key grips and other stage technicians, completion of a college program or other specialized training program in technical production for theatre is required."
52119.02,Membership in a related union may be required.
52119.03,"For gaffers, lighting technicians, key grips and other stage technicians, completion of a college program or other specialized training program in technical production for theatre is required."
52119.03,Membership in a related union may be required.
52119.04,"For most occupations in this unit group, completion of a college or university program in broadcasting, theatre arts or a related field andseveral years of experience in a related support or assisting occupation in motion pictures, broadcasting or the performing arts are required."
52119.04,Membership in a related union may be required.
52119.05,"For most occupations in this unit group, completion of a college or university program in broadcasting, theatre arts or a related field andseveral years of experience in a related support or assisting occupation in motion pictures, broadcasting or the performing arts are required."
52119.05,"Make-up artists working in motion pictures, broadcasting and the performing arts may require a training program."
52119.05,"Creative ability, as demonstrated by a portfolio of work, is required for make-up artists."
52119.05,Membership in a related union may be required.
52119.06,"For most occupations in this unit group, completion of a college or university program in broadcasting, theatre arts or a related field andseveral years of experience in a related support or assisting occupation in motion pictures, broadcasting or the performing arts are required."
52119.06,Membership in a related union may be required.
52119.07,"For gaffers, lighting technicians, key grips and other stage technicians, completion of a college program or other specialized training program in technical production for theatre is required."
52119.07,Membership in a related union may be required.
52120.01,"A university degree in visual arts with specialization in graphic design, commercial art, graphic communications or cartooning orcompletion of a college diploma program in graphic arts is required."
52120.01,"Creative ability and artistic talent, as demonstrated by a portfolio of work, are required for graphic designers and illustrators."
52120.01,"Experience or training in multimedia design at a post-secondary, college or technical institution may be required."
52120.02,"A university degree in visual arts with specialization in graphic design, commercial art, graphic communications or cartooning orcompletion of a college diploma program in graphic arts is required."
52120.02,"Creative ability and artistic talent, as demonstrated by a portfolio of work, are required for graphic designers and illustrators."
52120.02,"Experience or training in multimedia design at a post-secondary, college or technical institution may be required."
52120.02,"In addition to the arts, training in biology, engineering, architecture or a scientific field is usually required for medical, technical and scientific illustrators."
52121.00,A college certificate or diploma in interior decoration is usually required.
52121.00,A university degree or college diploma in interior design is usually required.
52121.00,Certification by a provincial institute or association is required to use protected titles related to interior designers in all provinces except Prince Edward Island.
52121.00,Membership in the Canadian Decorators' Association is available to qualified decorators.
52121.00,The National Council for Interior Design Qualification (NCIDQ) examination may be required after six years of combined study and experience.
53100.01,"For other occupations in this unit group, completion of a college program in museum technology or conservation technology orcompletion of other technical or on-the-job training programs related to the work are required."
53100.02,"For other occupations in this unit group, completion of a college program in museum technology or conservation technology orcompletion of other technical or on-the-job training programs related to the work are required."
53100.03,"For other occupations in this unit group, completion of a college program in museum technology or conservation technology orcompletion of other technical or on-the-job training programs related to the work are required."
53100.03,"Registrars, cataloguers and interpreters may require a university degree in a field related to museum and gallery work."
53100.04,"For other occupations in this unit group, completion of a college program in museum technology or conservation technology orcompletion of other technical or on-the-job training programs related to the work are required."
53100.04,"Registrars, cataloguers and interpreters may require a university degree in a field related to museum and gallery work."
53100.05,"For other occupations in this unit group, completion of a college program in museum technology or conservation technology orcompletion of other technical or on-the-job training programs related to the work are required."
53110.00,"A bachelor's degree in visual arts with specialization in photography orcompletion of specialized training in photography in high school, college or specialized training schools orextensive on-the-job training under the supervision of a photographer is required."
53110.00,"Creative and technical ability, as demonstrated by a portfolio of work, are required."
53110.00,"Experience in, or knowledge of computerized photography or digital imaging may be required."
53111.01,Completion of secondary school is usually required.
53111.01,"Most occupations in this unit group require completion of college courses in broadcasting, theatre arts or a related field ora period of on-the-job training."
53111.02,Completion of secondary school is usually required.
53111.02,"Most occupations in this unit group require completion of college courses in broadcasting, theatre arts or a related field ora period of on-the-job training."
53111.02,"Certification for projectionists is available, but voluntary, in New Brunswick. In Quebec, projectionists are regulated under operators of electrical machines, cinema equipment."
53111.02,Projectionists are required to be licensed by their province of employment.
53111.03,"Most occupations in this unit group require completion of college courses in broadcasting, theatre arts or a related field ora period of on-the-job training."
53111.03,Completion of secondary school is usually required.
53111.04,Completion of secondary school is usually required.
53111.04,"Most occupations in this unit group require completion of college courses in broadcasting, theatre arts or a related field ora period of on-the-job training."
53111.05,Completion of secondary school is usually required.
53111.05,"Most occupations in this unit group require completion of college courses in broadcasting, theatre arts or a related field ora period of on-the-job training."
53111.06,Completion of secondary school is usually required.
53111.06,"Most occupations in this unit group require completion of college courses in broadcasting, theatre arts or a related field ora period of on-the-job training."
53111.07,Completion of secondary school is usually required.
53111.07,"Most occupations in this unit group require completion of college courses in broadcasting, theatre arts or a related field ora period of on-the-job training."
53120.01,A university degree or college diploma in dance orGraduation from a private dance school or academy may be required.
53120.01,"Talent and ability, as demonstrated during an audition, are important hiring criteria."
53120.01,Membership in a guild or union related to the occupation or type of performance may be required.
53120.02,A university degree or college diploma in dance orGraduation from a private dance school or academy may be required.
53120.02,"Talent and ability, as demonstrated during an audition, are important hiring criteria."
53120.02,Membership in a guild or union related to the occupation or type of performance may be required.
53120.02,Dance teachers usually require experience as dancers.
53121.01,"Demonstrated ability, based on an audition or previous acting or circus roles, is an important hiring criteria."
53121.01,Membership in a guild or union may be required.
53121.02,"Demonstrated ability, based on an audition or previous acting or circus roles, is an important hiring criteria."
53121.02,Membership in a guild or union may be required.
53121.02,Acting teachers usually require experience as actors.
53121.03,"Demonstrated ability, based on an audition or previous acting or circus roles, is an important hiring criteria."
53121.03,Membership in a guild or union may be required.
53121.03,Circus performers and acrobats may require a period of study at a circus school.
53122.01,"Creative ability and talent, as demonstrated by a portfolio of work, and knowledge of the safe use of materials, tools and equipment are required. Art programs are offered at universities, colleges and private art schools."
53122.01,A college diploma in fine arts techniques may be required.
53122.02,"Creative ability and talent, as demonstrated by a portfolio of work, and knowledge of the safe use of materials, tools and equipment are required. Art programs are offered at universities, colleges and private art schools."
53122.02,A college diploma in fine arts techniques may be required.
53122.03,"Creative ability and talent, as demonstrated by a portfolio of work, and knowledge of the safe use of materials, tools and equipment are required. Art programs are offered at universities, colleges and private art schools."
53122.03,Art instructors and teachers may be required to have a university degree or college diploma in a field related to art.
53123.01,"A university degree in fine arts or visual arts with specialization in theatre design, clothing design or exhibit design orcompletion of a college or art school program in theatre design, clothing design or exhibit design is required."
53123.01,"Creative ability, as demonstrated by a portfolio of work, is required."
53123.01,Use of computer-aided design (CAD) software may be required.
53123.02,"A university degree in fine arts or visual arts with specialization in theatre design, clothing design or exhibit design orcompletion of a college or art school program in theatre design, clothing design or exhibit design is required."
53123.02,Use of computer-aided design (CAD) software may be required.
53123.02,"Creative ability, as demonstrated by a portfolio of work, is required."
53123.03,"A university degree in fine arts or visual arts with specialization in theatre design, clothing design or exhibit design orcompletion of a college or art school program in theatre design, clothing design or exhibit design is required."
53123.03,Use of computer-aided design (CAD) software may be required.
53123.03,"Creative ability, as demonstrated by a portfolio of work, is required."
53124.01,"Training programs are offered by artisan guilds, colleges and private studios."
53124.01,A college diploma in fine craft techniques may be required.
53124.01,"Creative ability and talent, as demonstrated by a portfolio of work, and knowledge of safe handling of material, tools and equipment are required."
53124.01,Skills are often learned through apprenticeship with a master craftsperson.
53124.02,"Training programs are offered by artisan guilds, colleges and private studios."
53124.02,A college diploma in fine craft techniques may be required.
53124.02,"Creative ability and talent, as demonstrated by a portfolio of work, and knowledge of safe handling of material, tools and equipment are required."
53124.02,Skills are often learned through apprenticeship with a master craftsperson.
53124.03,"Training programs are offered by artisan guilds, colleges and private studios."
53124.03,A college diploma in fine craft techniques may be required.
53124.03,"Creative ability and talent, as demonstrated by a portfolio of work, and knowledge of safe handling of material, tools and equipment are required."
53124.03,Skills are often learned through apprenticeship with a master craftsperson.
53124.04,"Training programs are offered by artisan guilds, colleges and private studios."
53124.04,A college diploma in fine craft techniques may be required.
53124.04,"Creative ability and talent, as demonstrated by a portfolio of work, and knowledge of safe handling of material, tools and equipment are required."
53124.04,Skills are often learned through apprenticeship with a master craftsperson.
53124.05,Skills are often learned through apprenticeship with a master craftsperson.
53124.05,"Training programs are offered by artisan guilds, colleges and private studios."
53124.05,"Creative ability and talent, as demonstrated by a portfolio of work, and knowledge of safe handling of material, tools and equipment are required."
53124.05,A college diploma in fine craft techniques may be required.
53124.06,Skills are often learned through apprenticeship with a master craftsperson.
53124.06,"Training programs are offered by artisan guilds, colleges and private studios."
53124.06,"Creative ability and talent, as demonstrated by a portfolio of work, and knowledge of safe handling of material, tools and equipment are required."
53124.06,A college diploma in fine craft techniques may be required.
53124.07,Skills are often learned through apprenticeship with a master craftsperson.
53124.07,"Training programs are offered by artisan guilds, colleges and private studios."
53124.07,"Creative ability and talent, as demonstrated by a portfolio of work, and knowledge of safe handling of material, tools and equipment are required."
53124.07,A college diploma in fine craft techniques may be required.
53124.08,Skills are often learned through apprenticeship with a master craftsperson.
53124.08,"Training programs are offered by artisan guilds, colleges and private studios."
53124.08,"Creative ability and talent, as demonstrated by a portfolio of work, and knowledge of safe handling of material, tools and equipment are required."
53124.08,A college diploma in fine craft techniques may be required.
53124.09,Skills are often learned through apprenticeship with a master craftsperson.
53124.09,"Training programs are offered by artisan guilds, colleges and private studios."
53124.09,"Creative ability and talent, as demonstrated by a portfolio of work, and knowledge of safe handling of material, tools and equipment are required."
53124.09,A college diploma in fine craft techniques may be required.
53125.00,Completion of secondary school is required.
53125.00,College courses in design and patternmaking orone to two years of on-the-job training are required.
53125.00,Courses in computer-assisted patternmaking may be required.
53200.00,"Demonstrated ability in a particular sport, or type of game, is required."
53200.00,Extensive training under the supervision of a coach is required.
53200.00,Certification with a particular sports federation may be required.
53200.00,A background combining athletic training and college or university studies is strongly recommended.
53201.01,Completion of the National Coaching Certificate program is usually required for individual and team sports coaches in all sports.
53201.01,National Coaching Certificate Level 3 is usually required for provincial coaches.
53201.01,A degree in physical education may be required.
53201.01,National Coaching Certificate Level 4 is usually required for coaches of national team athletes.
53201.02,"Experience in, and technical knowledge of, the sport is required."
53202.00,Sports officials require certification by and registration with a sport governing body or commission.
53202.00,Sports referees require completion of an officiating program offered by a sport governing body.
54100.01,Completion of secondary school is usually required.
54100.01,Completion of a college program in recreation or physical educationorextensive experience in a specific recreational or sports program activity is usually required.
54100.01,"Certification is usually required in a specific area of recreational, sports or fitness activity, such as ski instructor or personal trainer, or in first aid or emergency care."
54100.01,"Demonstrated ability in a particular recreational, sports or fitness discipline is required."
54100.02,Completion of secondary school is usually required.
54100.02,Completion of a college program in recreation or physical educationorextensive experience in a specific recreational or sports program activity is usually required.
54100.02,Fitness appraiser certification may be required for fitness appraisers.
55109.01,Training for other occupations in this unit group is often obtained under the guidance of a practitioner.
55109.01,Membership in a guild or union related to the occupation or type or performance may be required.
55109.02,Training for other occupations in this unit group is often obtained under the guidance of a practitioner.
55109.02,Membership in a guild or union related to the occupation or type or performance may be required.
55109.03,Completion of modelling courses is usually required for models.
55109.03,Membership in a guild or union related to the occupation or type or performance may be required.
55109.04,Training for other occupations in this unit group is often obtained under the guidance of a practitioner.
60010.00,A university degree or college diploma in business or in a related field with a specialization in sales andseveral years of experience as a sales representative or in a related occupation are usually required.
60020.00,Completion of secondary school is required.
60020.00,A university degree or college diploma in business administration or other field related to the product or service being sold may be required.
60020.00,Several years of related retail or wholesale sales experience at increasing levels of responsibility are usually required.
60030.00,Completion of a college or other program related to hospitality or food and beverage service management is usually required.
60030.00,Responsible beverage service certification is usually required for managers of establishments serving alcoholic beverages.
60030.00,"Several years of experience in the food service sector, including supervisory experience, are required."
60031.00,Several years of experience within the accommodation industry are usually required and may substitute for formal educational requirements.
60031.00,A university degree or college diploma in hotel management or other related discipline is usually required for managers employed by hotel chains or large accommodation establishments.
60040.00,A college diploma or vocational certificate in the subject of instruction may be required.
60040.00,One to three years of experience in the service being offered are usually required.
60040.00,Completion of secondary school is usually required.
62010.00,Completion of secondary school is usually required.
62010.00,"Previous retail sales experience as a retail salesperson or sales clerk, cashier, telemarketer, door-to-door salesperson or rental agent is usually required."
62020.00,"Completion of a community college program in food service administration, hotel and restaurant management or related discipline orseveral years of experience in food preparation or service are required."
62020.00,Completion of secondary school is usually required.
62021.00,Completion of secondary school is usually required.
62021.00,"A university degree or college diploma in hospital management, hotel management or business administration is usually required."
62021.00,Extensive experience as a cleaning supervisor may substitute for formal education requirements.
62022.00,Experience in the occupation supervised is usually required.
62022.00,Completion of secondary school is usually required.
62022.00,Casino gaming licences are usually required for all casino employees.
62022.00,Completion of college courses related to the area supervised may be required.
62023.01,Experience in the occupation supervised is required.
62023.01,Completion of college or industry courses related to financial or customer services may be required.
62023.02,Experience in the occupation supervised is required.
62023.02,Completion of college or industry courses related to financial or customer services may be required.
62024.00,Completion of secondary school is usually required.
62024.00,Previous experience in a particular area of cleaning is usually required.
62024.00,Previous supervisory experience may be required.
62029.00,Completion of secondary school is usually required.
62029.00,Completion of college courses related to the area supervised may be required.
62029.00,Experience in the occupation supervised is usually required.
62029.00,"Certification or licensing may be required for some occupations in this group (i.e., supervisors of commissionaires or security guards)."
62100.00,A university degree or college diploma in a program related to the product or service is usually required.
62100.00,Experience in sales or in a technical occupation related to the product or service may be required.
62100.00,"Fluency in a specific foreign language, and/or foreign work or travel experience may be required for technical sales specialists seeking employment with companies that import or export technical goods or services."
62100.00,Technical sales supervisors require experience as a technical sales specialist.
62100.00,A driver's licence and a good driving record may be required.
62101.00,"A university degree or college diploma in business, marketing or a related program is usually required."
62101.00,Completion of secondary school is required.
62101.00,Previous work experience in retail or wholesale establishments is usually required.
62101.00,Supervisors and senior buyers require experience in the occupation supervised or in a particular merchandise line.
62200.01,"Cook's trade certification or equivalent credentials, training and experience are required."
62200.01,"The certifications of Certified Working Chef (CWC) and Certified Chef de Cuisine (CCC), administered by the Canadian Culinary Institute (CCI) of the Canadian Culinary Federation (CCF) are available to qualified chefs."
62200.01,Red Seal endorsement for cooks is also available to qualified chefs upon successful completion of the interprovincial Red Seal examination.
62200.01,"Executive chefs usually require management training and several years of experience in commercial food preparation, including two years in a supervisory capacity andexperience as a sous-chef, specialist chef or chef."
62200.01,Completion of secondary school is usually required.
62200.02,"Cook's trade certification or equivalent credentials, training and experience are required."
62200.02,Red Seal endorsement for cooks is also available to qualified chefs upon successful completion of the interprovincial Red Seal examination.
62200.02,"Sous-chefs, specialist chefs and chefs usually require several years of experience in commercial food preparation."
62200.02,Completion of secondary school is usually required.
62200.03,"Cook's trade certification or equivalent credentials, training and experience are required."
62200.03,"The certifications of Certified Working Chef (CWC) and Certified Chef de Cuisine (CCC), administered by the Canadian Culinary Institute (CCI) of the Canadian Culinary Federation (CCF) are available to qualified chefs."
62200.03,Red Seal endorsement for cooks is also available to qualified chefs upon successful completion of the interprovincial Red Seal examination.
62200.03,"Sous-chefs, specialist chefs and chefs usually require several years of experience in commercial food preparation."
62200.03,Completion of secondary school is usually required.
62201.01,Completion of a one- to two-year college program and a twelve- to twenty-month practical apprenticeship program during or following the educational program is usually required for funeral directors.
62201.01,Funeral directors require licensure in most provinces and territories.
62201.01,Funeral directors may be required to be licensed embalmers depending on provincial requirements.
62201.02,Completion of a two- to three-year college program and a twelve- to twenty-month practical apprenticeship program during or following the educational program orcompletion of a three-year college program is required for embalmers.
62201.02,Embalmers require licensure in all provinces.
62202.01,Completion of secondary school is usually required.
62202.01,"Experience as a jewellery, clock or watch assembler may be required."
62202.01,"Completion of a college or other program, or apprenticeship training in watch or jewellery repair or gemology is usually required."
62202.02,Completion of secondary school is usually required.
62202.02,"Experience as a jewellery, clock or watch assembler may be required."
62202.02,"Completion of a college or other program, or apprenticeship training in watch or jewellery repair or gemology is usually required."
63100.00,Licensure by the insurance governing body in the province or territory of employment is required.
63100.00,On-the-job training and insurance industry courses and training programs are provided and are required for employment.
63100.00,Completion of secondary school is usually required.
63101.00,Completion of secondary school is required.
63101.00,Completion of a real estate training course is required.
63101.00,Provincial or territorial licensure in the province or territory of employment is required.
63102.00,Registration with the securities regulatory authority in the province or territory of employment is usually required.
63102.00,Financial services officers who sell regulated financial products and investments are required to be licensed by the appropriate governing body.
63102.00,"Completion of a loan or credit training program, ranging from six to twelve months, is usually required."
63102.00,Various training programs and courses are offered by the Institute of Canadian Bankers and may be required by employers.
63102.00,Completion of secondary school and extensive general banking experience is usually required.
63102.00,A bachelor's degree or college diploma related to commerce or economics may be required.
63102.00,A mutual funds licence is usually required.
63200.00,Completion of secondary school is usually required.
63200.00,Completion of a three-year apprenticeship program for cooks orcompletion of college or other program in cooking or food safety orseveral years of commercial cooking experience may be required.
63200.00,"Trade certification is available, but voluntary, in all provinces and territories."
63200.00,Red Seal endorsement is also available to qualified cooks upon successful completion of the interprovincial Red Seal examination.
63201.00,Completion of secondary school may be required.
63201.00,Completion of a college or other butchery training program may be required.
63201.00,Several years of on-the-job training in food stores is usually required for retail butchers.
63202.00,Completion of secondary school is usually required.
63202.00,On-the-job training may be provided.
63202.00,Completion of a three- or four-year apprenticeship program for bakers orcompletion of a college or other program for bakersorseveral years of commercial baking experience is usually required.
63202.00,Red Seal endorsement is also available to qualified bakers upon successful completion of the interprovincial Red Seal examination.
63202.00,"Trade certification is available, but voluntary, in Newfoundland and Labrador, Nova Scotia, Prince Edward Island, New Brunswick, Quebec, Ontario, Alberta, British Columbia, the Yukon, the Northwest Territories and Nunavut."
63210.01,Completion of a one- or two-year hairstyling apprenticeship program or completion of a college or other program in hairstyling combined with on-the-job training is usually required.
63210.01,"Trade certification for hairstylists is compulsory in Nova Scotia, Ontario, Manitoba, Saskatchewan, and Alberta, and available, but voluntary, in Newfoundland and Labrador, Prince Edward Island, New Brunswick, Quebec, British Columbia, the Yukon, the Northwest Territories and Nunavut."
63210.01,Red Seal endorsement is also available to qualified hairstylists upon successful completion of the interprovincial Red Seal examination.
63210.01,"In New Brunswick, licensing by the Cosmetology Association of New Brunswick is mandatory to use the titles “Hairstylist” or “hairdresser”."
63210.01,Completion of secondary school education is required.
63210.01,Several years of experience may replace formal education and training.
63210.01,Employers may require applicants to provide a hairstyling demonstration before being hired.
63210.02,"Trade certification for barbers is compulsory in Ontario and available, but voluntary, in the Yukon."
63210.02,Completion of secondary school education is required.
63210.02,"Red Seal endorsement is also available to barbers, as qualified hairstylists, upon successful completion of the interprovincial Red Seal examination."
63210.02,Completion of a seven-month to one-year apprenticeship or other barber program is usually required.
63210.02,On-the-job training may be substituted for formal education.
63211.01,"Completion of high school, college or beauty school programs for cosmeticians, estheticians, electrologists, manicurists and pedicurists is required oron-the-job training is provided."
63211.01,Estheticians usually require certification from an esthetician's educational or training institution.
63211.01,"Apprenticeship for electrologists, estheticians and nail technicians is available in Manitoba. Trade certification for these occupations is compulsory in that province."
63211.01,A business licence is required for workers in this group who are owners/operators of businesses offering these services.
63211.01,Practitioners offering these personal services are required to adhere to infection control procedures.
63211.02,"Completion of high school, college or beauty school programs for cosmeticians, estheticians, electrologists, manicurists and pedicurists is required oron-the-job training is provided."
63211.02,A business licence is required for workers in this group who are owners/operators of businesses offering these services.
63211.02,Practitioners offering these personal services are required to adhere to infection control procedures.
63211.03,"Completion of high school, college or beauty school programs for cosmeticians, estheticians, electrologists, manicurists and pedicurists is required oron-the-job training is provided."
63211.03,Electrologists usually require certification from an electrologist's educational or training institution.
63211.03,Membership in a provincial or national electrolysis association may be required.
63211.03,Completion of a registered dermal therapy program may be required to provide electrology laser and vascular treatments.
63211.03,"Apprenticeship for electrologists, estheticians and nail technicians is available in Manitoba. Trade certification for these occupations is compulsory in that province."
63211.03,A business licence is required for workers in this group who are owners/operators of businesses offering these services.
63211.03,Practitioners offering these personal services are required to adhere to infection control procedures.
63211.04,"Completion of high school, college or beauty school programs for cosmeticians, estheticians, electrologists, manicurists and pedicurists is required oron-the-job training is provided."
63211.04,"Apprenticeship for electrologists, estheticians and nail technicians is available in Manitoba. Trade certification for these occupations is compulsory in that province."
63211.04,A business licence is required for workers in this group who are owners/operators of businesses offering these services.
63211.04,Practitioners offering these personal services are required to adhere to infection control procedures.
63211.05,"Completion of high school, college or beauty school programs for cosmeticians, estheticians, electrologists, manicurists and pedicurists is required oron-the-job training is provided."
63211.05,A business licence is required for workers in this group who are owners/operators of businesses offering these services.
63211.05,Practitioners offering these personal services are required to adhere to infection control procedures.
63211.06,"Completion of high school, college or beauty school programs for cosmeticians, estheticians, electrologists, manicurists and pedicurists is required oron-the-job training is provided."
63211.06,A business licence is required for workers in this group who are owners/operators of businesses offering these services.
63211.06,Practitioners offering these personal services are required to adhere to infection control procedures.
63211.07,"Completion of high school, college or beauty school programs for cosmeticians, estheticians, electrologists, manicurists and pedicurists is required oron-the-job training is provided."
63211.07,A business licence is required for workers in this group who are owners/operators of businesses offering these services.
63211.07,Practitioners offering these personal services are required to adhere to infection control procedures.
63220.01,Extensive on-the-job training is provided for shoemakers.
63220.01,Some secondary school may be required.
63220.01,Shoemakers may require experience as shoe repairers.
63220.02,Some secondary school may be required.
63220.02,Several months of on-the-job training is provided for shoe repairers.
63221.00,"Completion of college or other specialized courses or an apprenticeship program in furniture upholstering and repair orseveral years of on-the-job training, including working as an upholsterer helper are usually required."
63221.00,"Trade certification is available, but voluntary, in Quebec."
63221.00,Completion of secondary school is usually required.
64100.01,Completion of secondary school may be required.
64100.01,A university degree or college diploma may be required by some employers.
64100.01,Specific subject matter courses or training may be required.
64100.01,"Demonstrated sales ability and product knowledge are usually required for retail salespersons who sell complex or valuable merchandise, such as automobiles, antiques or computers."
64100.02,Completion of secondary school may be required.
64100.02,Previous visual merchandising experience may be required.
64101.00,Experience in sales or in an occupation related to the product or service is usually required.
64101.00,Voluntary certification is available from the Canadian Professional Sales Association.
64101.00,Fluency in a foreign language and/or foreign country work or travel experience may be required for sales representatives seeking employment with companies that import or export goods or services.
64101.00,Completion of secondary school is required.
64101.00,Supervisors and senior sales representatives require experience.
64101.00,A university degree or completion of a college or other program may be required.
64200.01,Completion of secondary school may be required.
64200.01,"Tailors and dressmakers require demonstrated ability to sew, style and fit men's or women's garments and may require completion of college or other courses in tailoring or dressmaking."
64200.01,"Alterationists require demonstrated ability to sew, alter and repair garments."
64200.02,Completion of secondary school may be required.
64200.02,"Furriers require several years of experience in selecting pelts and making, fitting, styling and altering fur garments and accessories."
64200.03,Completion of secondary school may be required.
64200.03,"Milliners require demonstrated ability to sew, style and fit hats and caps."
64201.01,Completion of secondary school is usually required.
64201.01,"Specialized training courses are available for colour consultants, make-up and skin care consultants, weight loss consultants and most other occupations in this unit group."
64201.01,"Experience and expertise in fashion, art, modelling or related fields is usually required."
64201.02,Completion of secondary school is usually required.
64201.02,"Specialized training courses are available for colour consultants, make-up and skin care consultants, weight loss consultants and most other occupations in this unit group."
64201.02,"Experience and expertise in fashion, art, modelling or related fields is usually required."
64201.03,Completion of secondary school is usually required.
64201.03,"Specialized training courses are available for colour consultants, make-up and skin care consultants, weight loss consultants and most other occupations in this unit group."
64201.03,"Experience and expertise in fashion, art, modelling or related fields is usually required."
64300.00,Several weeks of on-the-job training are usually required.
64300.00,Completion of secondary school is usually required.
64300.00,Maîtres d'hôtel require experience as a formal or captain waiter/waitress or other food service experience.
64301.00,Completion of secondary school may be required.
64301.00,Responsible beverage service certification may be required.
64301.00,Completion of college or other program in bartending orcompletion of courses in mixing drinks is usually required.
64310.00,Certification with the Association of Canadian Travel Agencies (ACTA ) may be required.
64310.00,A college diploma or vocational training in travel or tourism is usually required.
64310.00,Completion of secondary school is usually required.
64311.01,Flight attendants and flight pursers require the completion of secondary school and a training program approved by Transport Canada.
64311.01,Flight attendants and ship pursers usually require experience working with the public.
64311.02,Flight attendants and flight pursers require the completion of secondary school and a training program approved by Transport Canada.
64311.02,Flight pursers/customer service directors require experience as a flight attendant.
64311.03,Flight attendants and ship pursers usually require experience working with the public.
64311.03,Ship pursers may require experience as a ship attendant.
64312.01,Completion of secondary school is usually required.
64312.01,Several weeks of on-the-job and classroom training are provided for all occupations in this unit group.
64312.01,"Airline station agents usually require experience as a ticket, baggage or cargo agent."
64312.02,Completion of secondary school is usually required.
64312.02,Several weeks of on-the-job and classroom training are provided for all occupations in this unit group.
64312.02,Load planners require a restricted radio operator's licence and usually require airline operations experience.
64312.03,Completion of secondary school is usually required.
64312.03,Several weeks of on-the-job and classroom training are provided for all occupations in this unit group.
64313.01,Completion of secondary school is usually required.
64313.01,Up to 10 weeks of training may be provided.
64313.02,Completion of secondary school is usually required.
64313.02,Up to 10 weeks of training may be provided.
64314.00,"Guest services representative trade certification is available, but voluntary, in Saskatchewan."
64314.00,Completion of secondary school or equivalent is usually required.
64314.00,"Completion of a two-year apprenticeship program, or a college program in front desk operations or hotel management may be required."
64320.01,On-the-job training is provided.
64320.01,Knowledge of both official languages or an additional language may be required for some positions in this group.
64320.02,On-the-job training is provided.
64320.02,Knowledge of both official languages or an additional language may be required for some positions in this group.
64321.00,Completion of secondary school is usually required.
64321.00,On-the-job training is provided for gaming table dealers.
64321.00,Security clearance is required for all casino workers.
64321.00,Casino gaming licences are usually required for all casino employees.
64322.00,"Knowledge of a particular terrain or body of water, demonstrated ability in the guided activity and relevant licences and certifications are required for employment in this group."
64322.00,"Hot air balloon pilots require completion of 10 hours of ground school, 16 hours of pilot-in-command experience and a Balloon Pilot Licence issued by Transport Canada. Additional hours of pilot-in-command experience may be required by some employers."
