OaSIS profile code,Employment requirement
13101.00,Completion of secondary school is required in all provinces and territories except for British Columbia.
13101.00,A language proficiency index is required in British Columbia.
13101.00,Property administrators must be a minimum of nineteen years of age in British Columbia.
13101.00,Completion of training courses or a vocational program in property or strata management or real estate may be required.
13101.00,"Several years of administrative experience as a property clerk, contract clerk, or administrative officer are usually required."
13101.00,Strata property managers must hold a licence in British Columbia.
13102.00,Completion of secondary school is usually required.
13102.00,"Completion of college or other courses in accounting, bookkeeping or payroll administration orexperience in payroll administration is usually required."
13102.00,Payroll association certification may be required.
13102.00,Experience using a payroll system or software may be required.
13110.00,Completion of secondary school is usually required.
13110.00,Completion of a one- or two-year college or other program for administrative assistants or secretaries orprevious clerical experience is required.
13111.00,Completion of secondary school is usually required.
13111.00,Completion of a one- or two-year college or other program for secretaries or legal secretaries is usually required.
13112.00,Completion of secondary school is usually required.
13112.00,Completion of a one- or two-year college program or other specialized courses for secretaries or medical secretaries is usually required.
13200.01,Completion of secondary school and some post-secondary education in commerce or a related field is required
13200.01,Customs brokers require several years of on-the-job training and completion of a customs brokers training program through the International Federation of Customs Brokers Association.
13200.01,"A customs broker licence, issued by the Canada Border Services Agency, is required for an individual or company to operate a customs brokerage business."
13200.02,Completion of secondary school and some post-secondary education in commerce or a related field is required
13200.02,"Shipbrokers selling cargo space on ships usually require several years of on-the-job training or related experience such as shipping company scheduling experience. Shipbrokers selling watercraft usually require in-depth experience with, and knowledge of, various watercraft."
13200.02,Correspondence courses from the Institute of Chartered Shipbrokers are available for shipbrokers.
13201.01,"Completion of a post-secondary education program of less than two years in Business or Supply Chain Management or extensive experience as a dispatcher, production clerk or scheduling clerk is usually required."
13201.02,"Completion of a post-secondary education program of less than two years in Business or Supply Chain Management or extensive experience as a dispatcher, production clerk or scheduling clerk is usually required."
14100.01,Completion of secondary school is usually required.
14100.02,Completion of secondary school or college business or commercial courses is usually required.
14101.01,Completion of secondary school is usually required.
14101.01,On-the-job training may be provided.
14101.02,Completion of secondary school is usually required.
14101.02,On-the-job training may be provided.
14101.03,Completion of secondary school is usually required.
14101.03,On-the-job training may be provided.
