OaSIS profile code,Excluded code,Job title
21330.00,21331,
21330.00,21332,
21330.00,80010,
21331.00,20010,
21331.00,21102,
21331.00,21203,
21331.00,21300,
21331.00,21330,
21331.00,21332,
21332.00,20010,
21332.00,21102,
21332.00,21320,
21332.00,21331,
21332.00,82021,
21390.00,20010,
21390.00,21301,
21390.00,21322,
21390.00,22313,
21399.03,20010,
21399.05,20010,
21399.05,21100,
21399.05,21320,
21399.05,72603,
22101.01,22214,
22101.01,22300,
22101.01,22310,
22101.01,82020,
22101.01,82021,
22101.02,22214,
22101.02,22300,
22101.02,22310,
22101.02,82020,
22101.02,82021,
22110.01,22111,
22110.01,22112,
22110.01,22113,
22110.01,32120,
22110.01,33101,
22110.02,22111,
22110.02,22112,
22110.02,22113,
22110.02,32120,
22110.02,33101,
22111.01,21120,
22111.02,21120,
22111.03,21120,
22111.03,22110,
22111.03,94143,
22111.04,21120,
22111.04,22110,
22111.04,94143,
22111.05,21120,
22111.05,22110,
22111.05,22112,
22112.00,21111,
22112.00,22110,
22112.00,22113,
22112.00,82010,
22113.00,22110,
22113.00,22111,
22113.00,22112,
22114.01,22112,
22114.02,82031,
22114.03,22110,
22114.03,80021,
22114.03,82031,
22114.04,21110,
22114.04,22112,
22114.04,80021,
22114.04,82031,
22114.05,82031,
22114.05,85103,
22114.06,82031,
22114.06,85103,
22114.07,82031,
22210.00,21200,
22210.00,22212,
22210.00,22213,
22210.00,22233,
22210.00,22300,
22210.00,22303,
22210.00,70010,
22211.00,22210,
22211.00,22212,
22211.00,22300,
22211.00,22301,
22211.00,22310,
22211.00,52120,
22211.00,52121,
22211.00,53123,
22212.02,22210,
22212.02,22211,
22212.02,22300,
22212.02,22301,
22212.02,22310,
22213.02,21203,
22213.02,22101,
22213.02,22212,
22213.02,22214,
22213.02,22300,
22214.01,22213,
22214.02,22213,
22214.03,22213,
22214.04,22213,
22214.05,21103,
22220.01,10022,
22220.01,21230,
22220.01,21233,
22220.01,21311,
22220.01,22221,
22220.01,22222,
22220.02,10022,
22220.02,21230,
22220.02,21233,
22220.02,21311,
22220.02,22221,
22220.02,22222,
22221.00,21220,
22221.00,21230,
22221.00,22220,
22221.00,22222,
22222.00,21220,
22222.00,21221,
22222.00,21222,
22222.00,21230,
22222.00,21231,
22222.00,21232,
22222.00,21233,
22222.00,21234,
22222.00,21311,
22222.00,22220,
22222.00,22221,
22230.00,22231,
22230.00,32120,
22230.00,32121,
22230.00,32122,
22230.00,32123,
22230.00,32124,
22230.00,32129,
22231.01,22230,
22231.02,22230,
22231.03,22230,
22231.04,22230,
22231.04,22233,
22231.05,22230,
22232.00,21120,
22232.00,22231,
22232.00,22233,
22232.00,41400,
22232.00,43202,
22233.00,22231,
22233.00,22232,
22233.00,22303,
22233.00,43202,
22233.00,70010,
22300.01,21202,
22300.01,22210,
22300.01,22212,
22300.01,22213,
22300.01,22233,
22300.01,22303,
