OaSIS Code,OaSIS Label,Holland Codes - 1,Holland Codes - 2,Holland Codes - 3
31100.08,Nuclear medicine physicians,I,S,R
31100.09,Dermatologists,I,S,R
31100.10,Physical medicine and rehabilitation physicians,I,S,R
31100.11,Preventive medicine physicians,S,I,R
31100.12,Radiologists,I,R,S
31100.13,Other specialists in clinical medicine,I,S,R
31100.14,"Specialists in laboratory medicine, including pathologists",I,R,S
31101.01,General surgery,I,R,S
31101.02,Obstetricians and gynecologists,I,S,R
31101.03,Ophthalmologists,I,S,R
31101.04,Urologists,I,S,R
31101.05,Other specialists in surgery,I,R,S
31102.00,General practitioners and family physicians,I,S,R
31103.00,Veterinarians,I,R,E
31110.01,"Dentists, General",I,R,S
31110.02,Oral and Maxillofacial Surgeons,R,S,I
31110.03,Orthodontists,I,R,S
31110.04,Prosthodontists,I,R,S
31111.00,Optometrists,I,S,R
31112.01,Audiologists,I,S,R
31112.02,Speech language pathologists,S,I,e
31120.01,Community pharmacists and hospital pharmacists,C,S,I
31120.02,Industrial pharmacists,I,E,C
31121.00,Dietitians and nutritionists,I,S,E
31200.00,Psychologists,I,S,A
31201.00,Chiropractors,S,I,R
31202.00,Physiotherapists,S,I,R
31203.00,Occupational therapists,S,I,C
31204.01,Recreational therapists,S,I,C
31204.02,Kinesiologists and exercise therapists,S,I,R
31209.01,Doctors of Podiatric Medicine,I,S,R
31209.02,Chiropodists and diploma or first-degree trained podiatrists,I,S,R
31209.03,Doctors of naturopathics medicine,I,S,e
31209.04,Doctors of osteopathic medicine,I,S,R
31300.00,Nursing coordinators and supervisors,E,S,C
31301.01,General duty registered nurses,S,I,C
31301.02,Occupational health nurses,S,E,C
31301.03,Community Health Nurses,S,E,C
31301.04,Registered psychiatric nurses,S,I,C
31301.05,Nursing researchers and consultants,I,E,S
31301.06,Clinical nurses,E,S,C
31302.00,Nurse practitioners,S,I,R
31303.01,Physician Assistants,S,I,R
31303.02,Midwives,S,R,I
31303.03,Genetic counsellors,S,I,r
31303.04,Orthoptists,I,S,R
31303.05,Pathologist assistants,R,C,I
32100.00,Opticians,R,S,C
32101.01,Licensed practical nurses,S,R,I
32101.02,Operating room technicians,R,S,C
32102.00,Paramedical occupations,S,I,R
32103.01,Respiratory therapists,S,I,R
32103.02,Clinical perfusionists,R,S,C
32103.03,Cardiopulmonary  technologists,R,I,S
32104.00,Animal health technologists and veterinary technicians,R,I,C
32109.01,Hearing instrument practitioners,S,R,I
32109.02,Communicative disorders assistants and speech-language pathology assistants,S,C,r
32109.03,Ophthalmic technologists and technicians,C,R,I
32109.04,Physical Rehabilitation therapists,S,R,i
32109.05,Physiotherapy assistants and occupational therapy assistants,S,R,C
32110.00,Denturists,R,C,I
32111.01,Dental hygienists,S,R,c
32111.02,Dental therapists,S,R,i
32112.00,Dental technologists and technicians,R,I,C
32120.00,Medical laboratory technologists,I,R,C
32121.01,Radiological technologists,R,S,C
32121.02,Nuclear medicine technologists,I,R,S
32121.03,Radiation therapists,S,R,C
32121.04,Magnetic Resonance Technologist,R,C,S
32122.00,Medical sonographers,I,S,R
32123.01,Cardiology technologists,R,I,S
32123.02,Electrophysiological technologists,R,I,S
32124.00,Pharmacy technicians,C,R,I
32129.01,Dietary technicians,S,I,R
32129.02,Ocularists,R,S,I
32129.03,Prosthetists and orthotists,R,S,I
32129.04,Prosthetic and orthotic technicians,R,C,s
32200.01,Traditional Chinese medicine practitioners,S,I,C
32200.02,Acupuncturists,S,R,I
32201.00,Massage therapists,S,R,
32209.01,Herbalists,S,I,e
32209.02,Osteopathic manual practitioners,S,R,I
32209.03,Homeopaths,S,E,I
32209.04,Reflexologists,S,R,I
32209.05,Holistic nutritionists,S,R,I
32209.06,Naturotherapists,S,R,i
33100.01,Dental assistants,C,R,S
33100.02,Dental Laboratory Assistants,R,C,i
33101.00,Medical laboratory assistants and related technical occupations,R,C,I
33102.00,"Nurse aides, orderlies and patient service associates",S,C,R
33103.00,Pharmacy technical assistants and pharmacy assistants,C,R,
33109.01,Audiometric technicians,S,I,R
33109.02,Orthopedic technologists,S,R,C
33109.03,Rehabilitation aides,S,R,C
33109.04,Ophthalmic assistants,C,S,R
33109.05,Optical/ophthalmic laboratory technicians and assistants,R,C,
33109.06,Sterile processing technicians,R,C,
33109.07,Blood donor clinic assistants,C,S,R
33109.08,Morgue attendants,R,C,
40010.00,Government managers - health and social policy development and program administration,E,C,I
40011.00,"Government managers - economic analysis, policy development and program administration",E,C,I
40012.00,Government managers - education policy development and program administration,E,C,I
40019.00,Other managers in public administration,E,C,I
40020.01,Faculty administrators,E,C,S
40020.02,Registrars,E,C,s
40020.03,Administrator of vocational training schools,E,C,S
40021.01,School principals,E,S,C
40021.02,Administrators of elementary and secondary education,E,S,C
40030.00,"Managers in social, community and correctional services",E,S,C
40040.00,Commissioned police officers and related occupations in public protection services,E,S,C
40041.00,Fire chiefs and senior firefighting officers,E,R,S
40042.00,Commissioned officers of the Canadian Armed Forces,E,C,I
41100.00,Judges,E,C,I
41101.00,Lawyers and Quebec notaries,E,I,C
41200.00,University professors and lecturers,I,E,S
41201.01,Post-secondary teaching assistants,C,I,s
41201.02,Post-secondary research assistants,I,C,
41210.00,College and other vocational instructors,S,E,I
41220.00,Secondary school teachers,S,E,I
41221.00,Elementary school and kindergarten teachers,S,E,C
41300.00,Social workers,S,I,E
41301.00,Therapists in counselling and related specialized therapies,S,I,E
41302.00,Religious leaders,S,E,C
41310.01,Police investigators,E,I,C
41310.02,Coroners and medical examiners,I,R,c
41311.00,Probation and parole officers,S,E,C
41320.00,Educational counsellors,S,I,E
41321.00,Career development practitioners and career counsellors (except education),S,I,E
41400.01,Ergonomists,I,C,S
41400.02,Occupational or industrial hygienists,I,C,E
41400.03,Patent agents,E,C,S
41400.04,Science policy and program officers,I,E,C
41400.05,Technology transfer officers,C,I,e
41401.00,Economists and economic policy researchers and analysts,I,C,E
41402.00,Business development officers and market researchers and analysts,I,E,C
41403.01,Social policy researchers,I,C,S
41403.02,Home economists,S,E,I
41403.03,Housing policy analysts,I,E,C
41403.04,Immigration and citizenship consultants,C,I,E
41403.05,International aid and development project officers,E,S,C
41403.06,Social survey researchers,I,C,e
41403.07,Social service planners,I,C,e
41404.00,"Health policy researchers, consultants and program officers",I,C,E
41405.00,"Education policy researchers, consultants and program officers",I,C,E
41406.01,"Recreation, sports and fitness consultants",E,S,c
41406.02,"Recreation, sports and fitness policy analysts",I,C,E
41406.03,"Recreation, sports and fitness program supervisors",E,S,C
41407.00,Program officers unique to government,E,I,C
41409.01,Anthropologists,I,R,a
41409.02,Archaeologists,I,R,a
41409.03,Geographers,I,R,E
41409.04,Historians,I,,
41409.05,Linguists,I,C,e
41409.06,Political scientists,I,S,e
41409.07,Psychometricians,I,C,S
41409.08,Sociologists,I,S,C
41409.09,Other social science professionals,I,C,S
42100.00,Police officers (except commissioned),E,R,S
42101.00,Firefighters,R,S,e
42102.00,Specialized members of the Canadian Armed Forces,R,C,s
42200.01,Paralegals,C,I,
42200.02,Independent paralegals,E,I,C
42200.03,Notaries public,C,S,e
42200.04,Trademark agents,E,C,I
42200.05,Justice of the peace,E,C,s
42201.00,Social and community service workers,S,C,E
42202.01,Early childhood educators,S,E,i
42202.02,Early childhood educator assistants,S,R,a
42203.00,Instructors of persons with disabilities,S,R,i
42204.00,Religion workers,S,E,
43100.00,Elementary and secondary school teacher assistants,S,R,i
43109.01,Driving instructors,S,R,e
43109.02,Driver's license examiners,E,C,I
43109.03,Sewing instructors,S,A,R
43109.04,Modelling instructors,S,A,E
43200.00,Sheriffs and bailiffs,C,E,R
43201.00,Correctional service officers,E,C,R
43202.01,Animal control officer,R,S,C
43202.02,By-law enforcement officers,E,C,I
43202.03,Commercial transport inspectors,R,C,I
43202.04,Garbage collection inspectors,C,I,e
43202.05,Liquor licence inspectors,E,C,I
43202.06,Parking control officers,C,E,I
43202.07,Taxi inspectors,R,C,I
43202.08,Zoning inspectors,C,I,E
43203.01,Border services and customs officers,C,E,R
43203.02,Immigration officers,C,E,I
43204.00,Operations Members of the Canadian Armed Forces,R,C,e
44100.01,Home child care providers,S,R,c
44100.02,Foster parents,S,R,e
44101.00,"Home support workers, caregivers and related occupations",S,R,
44200.00,Primary combat members of the Canadian Armed Forces,R,e,
45100.01,Student monitors,S,E,c
45100.02,Crossing guards,S,c,
50010.00,"Library, archive, museum and art gallery managers",E,C,s
50011.00,"Managers - publishing, motion pictures, broadcasting and performing arts",E,C,A
50012.00,"Recreation, sports and fitness program and service directors",E,S,
51100.00,Librarians,C,R,E
51101.01,Conservators,R,A,I
51101.02,Curators,E,I,A
51102.00,Archivists,C,I,a
51110.00,Editors,A,E,C
51111.01,"Novelists, playwrights, script writers, poets and other creative writers",A,I,E
51111.02,Content writers (non-technical),A,I,E
51111.03,Copywriters,E,A,C
51112.00,Technical writers,A,I,C
51113.00,Journalists,A,E,I
51114.01,Translators and translator-revisers,C,I,A
51114.02,Terminologists,C,I,e
51114.03,Interpreters,S,I,A
51114.04,Sign language Interpreters,S,I,A
51120.01,"Film, radio, television and video game producers",E,A,S
51120.02,Directors,E,A,S
51120.03,Choreographers,A,S,E
51120.04,Art directors,A,E,i
51120.05,Film editors,A,E,I
51120.06,Record producers,E,A,c
51120.07,Directors of photography,E,A,R
51121.01,Conductors,A,E,S
51121.02,Composers,A,E,R
51121.03,Arrangers,A,E,R
51122.01,Musicians,A,E,s
51122.02,Singers,A,E,s
51122.03,Teachers of music or voice,S,A,E
52100.01,Library Technicians,C,S,E
52100.02,Public archive technicians,C,R,E
52110.00,Film and video camera operators,R,A,i
52111.00,Graphic arts technicians,A,R,C
52112.00,Broadcast technicians,R,C,I
52113.00,Audio and video recording technicians,R,C,i
52114.00,Announcers and other broadcasters,E,A,s
52119.01,Floor managers,E,A,s
52119.02,Key grips,E,R,c
52119.03,Gaffers and lighting technicians,R,i,
52119.04,Stunt co-ordinators and special effects technicians,R,A,
52119.05,Make-up artists,A,R,
52119.06,Costumiers,E,A,i
52119.07,Settings shop foremen and property masters,A,R,e
52120.01,Graphic designers,A,R,E
52120.02,Illustrators,A,R,E
52121.00,Interior designers and interior decorators,A,E,r
53100.01,Conservation and restoration technicians,R,A,
53100.02,Preparators and picture framers,R,A,c
53100.03,Museum interpreters,S,E,
53100.04,"Curatorial assistants, museum extension officers, museology technicians and museum registrars and cataloguers",R,C,I
53100.05,Taxidermists,R,A,c
53110.00,Photographers,A,R,i
53111.01,Camera crane operators,R,C,I
53111.02,Motion picture projectionists,R,C,I
53111.03,Props persons and set builders,R,C,a
53111.04,Scripts assistants,C,e,r
53111.05,Grips and riggers,R,C,
53111.06,Dressers,R,s,
53111.07,Production assistants,C,R,i
53120.01,Dancers,A,R,
53120.02,Dance teachers,S,A,E
53121.01,Actors and comedians,A,E,
53121.02,Acting teachers,S,A,
53121.03,Circus and other performers,A,E,r
53122.01,Painters,A,R,i
53122.02,Sculptors,A,R,i
53122.03,Art instructors and teachers,A,S,R
53123.01,Theatre designers,A,R,E
53123.02,Fashion designers,A,E,R
53123.03,Exhibit designers,A,R,e
53124.01,Carvers,A,R,
53124.02,Glass blowers,R,A,
53124.03,Metal art workers,R,A,
53124.04,Potters,R,A,
53124.05,Stained glass artists,A,R,
53124.06,Instrument makers,R,A,i
53124.07,Weavers,R,A,
53124.08,Craft instructors,S,A,E
53124.09,Artistic floral arrangers,A,R,e
53125.00,"Patternmakers - textile, leather and fur products",R,A,C
53200.00,Athletes,R,e,
53201.01,Coaches,S,E,I
53201.02,Sports scouts,E,I,S
53202.00,Sports officials and referees,E,C,S
54100.01,Program leaders and instructors in recreation and sport,S,E,C
54100.02,Fitness appraisers,S,I,c
55109.01,Buskers,A,E,R
55109.02,Magicians and illusionists,A,R,e
55109.03,Fashion Models,A,E,
55109.04,Influencers,E,a,
60010.00,Corporate sales managers,E,C,I
60020.00,Retail and wholesale trade managers,E,C,I
60030.00,Restaurant and food service managers,E,C,I
60031.00,Accommodation service managers,E,C,I
60040.00,Managers in customer and personal services,E,C,I
62010.00,Retail sales supervisors,E,C,S
62020.00,Food service supervisors,E,C,S
62021.00,Executive housekeepers,E,C,R
62022.00,"Accommodation, travel, tourism and related services supervisors",E,C,S
62023.01,Customer service representatives supervisors - financial services,E,C,S
62023.02,Customer service representatives supervisors (except financial services),E,C,S
62024.00,Cleaning supervisors,E,C,S
62029.00,Other services supervisors,E,C,S
62100.00,Technical sales specialists - wholesale trade,E,C,I
62101.00,Retail and wholesale buyers,E,C,I
62200.01,Head Chefs,E,R,A
62200.02,Sous-Chefs,E,R,A
62200.03,Specialist chefs,E,R,A
62201.01,Funeral directors,E,C,s
62201.02,Embalmers,R,C,A
62202.01,Jewellers and related workers,R,A,C
62202.02,Watch repairers,R,C,I
63100.00,Insurance agents and brokers,E,C,S
63101.00,Real estate agents and salespersons,E,C,I
63102.00,Financial sales representatives,E,C,S
63200.00,Cooks,R,C,E
63201.00,Butchers - retail and wholesale,R,C,e
63202.00,Bakers,R,C,e
63210.01,Hairstylists,A,E,S
63210.02,Barbers,R,E,S
63211.01,Estheticians,S,R,E
63211.02,Cosmeticians,S,R,A
63211.03,Electrologists,S,R,E
63211.04,Manicurists and pedicurist,R,E,A
63211.05,Scalp treatment specialists,R,E,S
63211.06,Tattoo artists,A,R,E
63211.07,Hair replacement technicians (non-medical),R,S,A
63220.01,Shoemakers,R,C,A
63220.02,Shoe repairers,R,C,E
63221.00,Upholsterers,R,C,E
64100.01,Retail salespersons,E,C,s
64100.02,Visual merchandisers,A,E,R
64101.00,Sales and account representatives - wholesale trade (non-technical),E,C,s
64200.01,"Tailors, Dressmakers and Alterationists",R,A,E
64200.02,Furriers,R,A,E
64200.03,Milliners,R,A,E
64201.01,Image consultants,S,A,E
64201.02,Wedding consultants,E,S,A
64201.03,Weight loss consultants,S,E,C
64300.00,Maîtres d'hôtel and hosts/hostesses,E,S,c
64301.00,Bartenders,E,R,S
64310.00,Travel counsellors,E,S,C
64311.01,Flight attendants,E,S,C
64311.02,"Flight pursers, customer service directors and passenger service directors",E,C,s
64311.03,Ship pursers,E,C,s
64312.01,"Airline passenger, baggage and ticket agents",C,E,s
64312.02,Airline cargo and freight agents,C,E,R
64312.03,Airline reservation agents,C,E,s
64313.01,Ticket agents and related clerks (except airline),C,E,s
64313.02,Cargo service representatives (except airline),C,E,s
64314.00,Hotel front desk clerks,C,E,s
64320.01,Tour guides,S,E,c
64320.02,Travel guides,E,C,s
64321.00,Casino workers,C,E,r
64322.00,Outdoor sport and recreational guides,S,E,R
64400.00,Customer services representatives - financial institutions,C,E,S
64401.00,Postal services representatives,C,R,S
64409.00,Other customer and information services representatives,E,C,S
64410.01,Security guards,R,C,E
64410.02,Armoured car guards,R,C,E
64410.03,Corporate security officers,R,C,E
64410.04,Private investigators,E,C,R
64410.05,Retail loss prevention officers,E,C,I
65100.00,Cashiers,C,E,R
65101.00,Automotive and watercraft service station attendants,R,C,e
65102.00,"Store shelf stockers, clerks and order fillers",C,R,e
65109.01,Demonstrators and direct distributors,E,C,
65109.02,Door-to-door salespersons and street vendors,E,C,
65109.03,Telephone solicitors and telemarketers,E,C,
65200.00,Food and beverage servers,S,E,C
65201.01,Food counter attendants and food preparers,R,C,S
65201.02,Kitchen helpers,R,C,
65201.03,Food service helpers,R,C,S
65201.04,Dishwashers,R,c,
65202.00,Meat cutters and fishmongers - retail and wholesale,R,C,e
65210.01,Guest service attendants and baggage porters,R,C,e
65210.02,Ship and train service attendants,R,S,E
65210.03,Facilities workers,R,c,
65211.01,Amusement attraction operators,E,R,C
65211.02,"Attendants in amusement, recreation and sport",E,R,C
65220.00,Pet groomers and animal care workers,R,E,C
65229.00,Other support occupations in personal services,E,c,r
65310.01,Light duty cleaners,R,C,
65310.02,Housekeepers,R,C,s
65311.01,Carpet and upholstery cleaners,R,C,
65311.02,Chimney cleaners and sandblasters,R,c,
65311.03,Furnace and ventilation system cleaners,R,c,
65311.04,Vehicle cleaners,R,c,
65311.05,Window cleaners,R,c,
65312.00,"Janitors, caretakers and heavy-duty cleaners",R,C,e
65320.01,Dry cleaning and laundry machine operators,R,C,
65320.02,Dry cleaning and laundry inspectors and assemblers,R,C,I
65320.03,"Ironing, pressing and finishing workers",R,c,
65329.01,Beauty salon attendants,R,e,
65329.02,Door attendants,R,C,
65329.03,Funeral home attendants,S,E,R
65329.04,Laundromat attendants,R,C,e
65329.05,Parking lot attendants and car jockeys,R,C,E
65329.06,Ticket takers and ushers,S,C,E
65329.07,Other elemental service workers,R,E,C
70010.00,Construction managers,E,R,C
70011.00,Home building and renovation managers,E,R,C
70012.01,Facility operation managers,E,C,R
70012.02,Maintenance managers,E,C,R
70020.01,"Transportation managers, operations",E,C,I
70020.02,"Transportation managers, freight traffic",E,C,I
70021.00,Postal and courier services managers,E,C,i
72010.00,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",E,R,C
72011.00,"Contractors and supervisors, electrical trades and telecommunications occupations",E,C,R
72012.00,"Contractors and supervisors, pipefitting trades",E,R,C
72013.00,"Contractors and supervisors, carpentry trades",E,R,C
72014.00,"Contractors and supervisors, other construction trades, installers, repairers and servicers",E,C,R
72020.00,"Contractors and supervisors, mechanic trades",E,C,R
72021.00,"Contractors and supervisors, heavy equipment operator crews",E,C,R
72022.00,"Supervisors, printing and related occupations",E,C,R
72023.00,"Supervisors, railway transport operations",E,C,i
72024.00,"Supervisors, motor transport and other ground transit operators",E,C,i
72025.00,"Supervisors, mail and message distribution occupations",E,C,i
72100.01,Machinists,R,C,
72100.02,Machining and tooling inspectors,R,C,i
72101.01,Tool and die makers,R,C,i
72101.02,Metal mould makers and patternmakers,R,C,i
72102.00,Sheet metal workers,R,C,i
72103.00,Boilermakers,R,C,i
72104.00,Structural metal and platework fabricators and fitters,R,C,i
72105.00,Ironworkers,R,C,i
72106.01,Welders,R,C,i
72106.02,"Welding, brazing and soldering machine  operators",R,C,i
72200.00,Electricians (except industrial and power system),R,I,C
72201.00,Industrial electricians,R,I,C
72202.00,Power system electricians,R,C,I
72203.00,Electrical power line and cable workers,R,I,C
72204.00,Telecommunications line and cable installers and repairers,R,I,C
72205.01,Telephone installers and repairers,R,I,C
72205.02,Switch network installers and repairers,R,I,C
72205.03,Telecommunications service testers,R,I,C
72205.04,Telecommunications equipment technicians,R,I,C
72205.05,Television cable service technicians,R,I,C
72300.00,Plumbers,R,C,I
72301.01,Steamfitters and pipefitters,R,C,I
72301.02,Sprinkler system installers,R,C,I
72302.00,Gas fitters,R,C,I
72310.00,Carpenters,R,C,I
72311.00,Cabinetmakers,R,C,i
72320.00,Bricklayers,R,C,
