Code de profil professionnel SIPeC,Lieux de travail/employeurs,Nom du profil professionnel SIPeC
45100.02,Municipalités,Brigadiers/brigadières
45100.02,Agences de sécurité publiques et privées,Brigadiers/brigadières
45100.02,Écoles,Brigadiers/brigadières
50010.00,Centre d'archives,"Directeurs/directrices de bibliothèques, des archives, de musées et de galeries d'art"
50010.00,Bibliothèques,"Directeurs/directrices de bibliothèques, des archives, de musées et de galeries d'art"
50010.00,Musées,"Directeurs/directrices de bibliothèques, des archives, de musées et de galeries d'art"
50010.00,Galeries d'art non commerciales,"Directeurs/directrices de bibliothèques, des archives, de musées et de galeries d'art"
50011.00,"Sociétés cinématographiques, troupes de théâtre, maisons d'enregistrement de disques et sociétés de production vidéo","Directeurs/directrices - édition, cinéma, radiotélédiffusion et arts de la scène"
50011.00,"Journaux, périodiques et maisons d'édition","Directeurs/directrices - édition, cinéma, radiotélédiffusion et arts de la scène"
50011.00,Stations de radio,"Directeurs/directrices - édition, cinéma, radiotélédiffusion et arts de la scène"
50011.00,Studios de télévision,"Directeurs/directrices - édition, cinéma, radiotélédiffusion et arts de la scène"
50012.00,Organismes de loisirs et de conditionnement physique communautaires et privés,"Directeurs/directrices de programmes et de services de sports, de loisirs et de conditionnement physique"
50012.00,Municipalités,"Directeurs/directrices de programmes et de services de sports, de loisirs et de conditionnement physique"
50012.00,Organismes d'équipes d'athlétisme professionnel,"Directeurs/directrices de programmes et de services de sports, de loisirs et de conditionnement physique"
50012.00,Fédérations sportives,"Directeurs/directrices de programmes et de services de sports, de loisirs et de conditionnement physique"
51100.00,Services de bibliothèque dans les secteurs public et privé,Bibliothécaires
51100.00,Bibliothèques,Bibliothécaires
51101.01,Galeries d'art,Restaurateurs/restauratrices
51101.01,Musées,Restaurateurs/restauratrices
51101.01,Travailleurs autonomes,Restaurateurs/restauratrices
51101.01,Universités,Restaurateurs/restauratrices
51101.02,Galeries d'art,Conservateurs/conservatrices
51101.02,Musées,Conservateurs/conservatrices
51101.02,Universités,Conservateurs/conservatrices
51102.00,Centre d'archives,Archivistes
51102.00,Entreprises privées,Archivistes
51102.00,Secteurs gouvernemental et paragouvernemental,Archivistes
51110.00,Journaux,"Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles"
51110.00,Magazines,"Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles"
51110.00,Maison d'édition au sein d'une compagnie,"Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles"
51110.00,Entreprises et ministères gouvernementaux produisant des publications,"Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles"
51110.00,Maisons d'édition,"Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles"
51110.00,Stations de radio,"Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles"
51110.00,Travail autonome/travail à la pige,"Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles"
51110.00,Stations et réseaux de télévision,"Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles"
51111.01,Agences de publicité,"Romanciers, dramaturges, scénaristes, poètes et autres écrivains créatifs"
51111.01,Gouvernements,"Romanciers, dramaturges, scénaristes, poètes et autres écrivains créatifs"
51111.01,Grandes entreprises,"Romanciers, dramaturges, scénaristes, poètes et autres écrivains créatifs"
51111.01,Centres de production multimédia,"Romanciers, dramaturges, scénaristes, poètes et autres écrivains créatifs"
51111.01,Entreprises de médias spécialisés,"Romanciers, dramaturges, scénaristes, poètes et autres écrivains créatifs"
51111.01,Cabinets d'experts-conseils,"Romanciers, dramaturges, scénaristes, poètes et autres écrivains créatifs"
51111.01,Maisons d'édition,"Romanciers, dramaturges, scénaristes, poètes et autres écrivains créatifs"
51111.01,Travailleurs autonomes,"Romanciers, dramaturges, scénaristes, poètes et autres écrivains créatifs"
51111.02,Agences de publicité,Rédacteurs/rédactrices  (non technique)
51111.02,Gouvernements,Rédacteurs/rédactrices  (non technique)
51111.02,Grandes entreprises,Rédacteurs/rédactrices  (non technique)
51111.02,Centres de production multimédia,Rédacteurs/rédactrices  (non technique)
51111.02,Cabinets d'experts-conseils,Rédacteurs/rédactrices  (non technique)
51111.02,Maisons d'édition,Rédacteurs/rédactrices  (non technique)
51111.02,Travailleurs autonomes,Rédacteurs/rédactrices  (non technique)
51111.03,Agences de publicité,Concepteurs-rédacteurs publicitaires/conceptrices-rédactrices publicitaires
51111.03,Gouvernements,Concepteurs-rédacteurs publicitaires/conceptrices-rédactrices publicitaires
51111.03,Grandes entreprises,Concepteurs-rédacteurs publicitaires/conceptrices-rédactrices publicitaires
51111.03,Centres de production multimédia,Concepteurs-rédacteurs publicitaires/conceptrices-rédactrices publicitaires
51111.03,Entreprises de médias spécialisés,Concepteurs-rédacteurs publicitaires/conceptrices-rédactrices publicitaires
51111.03,Cabinets d'experts-conseils,Concepteurs-rédacteurs publicitaires/conceptrices-rédactrices publicitaires
51111.03,Maisons d'édition,Concepteurs-rédacteurs publicitaires/conceptrices-rédactrices publicitaires
51111.03,Travailleurs autonomes,Concepteurs-rédacteurs publicitaires/conceptrices-rédactrices publicitaires
51112.00,Agences de publicité,Rédacteurs/rédactrices techniques
51112.00,Gouvernements,Rédacteurs/rédactrices techniques
51112.00,Grandes entreprises,Rédacteurs/rédactrices techniques
51112.00,Centres de production multimédia,Rédacteurs/rédactrices techniques
51112.00,Entreprises de médias spécialisés,Rédacteurs/rédactrices techniques
51112.00,Maisons d'édition,Rédacteurs/rédactrices techniques
51112.00,Travailleurs autonomes,Rédacteurs/rédactrices techniques
51113.00,Magazines,Journalistes
51113.00,Journaux,Journalistes
51113.00,Centres sportifs et récréatifs,Journalistes
51113.00,Travail autonome/travail à la pige,Journalistes
51113.00,Stations et réseaux de télévision,Journalistes
51114.01,Gouvernements,Traducteurs/traductrices et traducteurs-réviseurs/traductrices-réviseures
51114.01,Services internes de traduction,Traducteurs/traductrices et traducteurs-réviseurs/traductrices-réviseures
51114.01,Organismes internationaux,Traducteurs/traductrices et traducteurs-réviseurs/traductrices-réviseures
51114.01,Grandes entreprises privé,Traducteurs/traductrices et traducteurs-réviseurs/traductrices-réviseures
51114.01,Entreprises médiatiques,Traducteurs/traductrices et traducteurs-réviseurs/traductrices-réviseures
51114.01,Cabinets de traduction,Traducteurs/traductrices et traducteurs-réviseurs/traductrices-réviseures
51114.01,Travail autonome,Traducteurs/traductrices et traducteurs-réviseurs/traductrices-réviseures
51114.02,Gouvernements,Terminologues
51114.02,Services internes de traduction,Terminologues
51114.02,Organismes internationaux,Terminologues
51114.02,Grandes entreprises privé,Terminologues
51114.02,Entreprises médiatiques,Terminologues
51114.02,Agences privées d'interprétation,Terminologues
51114.02,Cabinets de traduction,Terminologues
51114.02,Travail autonome,Terminologues
51114.03,Gouvernements,Interprètes
51114.03,Organismes internationaux,Interprètes
51114.03,Grandes entreprises privé,Interprètes
51114.03,Entreprises médiatiques,Interprètes
51114.03,Agences privées d'interprétation,Interprètes
51114.03,Travail autonome,Interprètes
51114.04,Tribunaux,Interprètes en langue des signes
51114.04,Services gouvernementaux,Interprètes en langue des signes
51114.04,Services d'interprétation,Interprètes en langue des signes
51114.04,Écoles,Interprètes en langue des signes
51114.04,Travail autonome,Interprètes en langue des signes
51114.04,Agences de services sociaux,Interprètes en langue des signes
51114.04,Stations de télévision,Interprètes en langue des signes
51120.01,Compagnies de publicité,"Producteurs/productrices de films cinématographiques, d'émissions de télévision, de radio et de jeux vidéos"
51120.01,Services de radiodiffusion,"Producteurs/productrices de films cinématographiques, d'émissions de télévision, de radio et de jeux vidéos"
51120.01,Sociétés de production cinématographique,"Producteurs/productrices de films cinématographiques, d'émissions de télévision, de radio et de jeux vidéos"
51120.01,Stations de radio,"Producteurs/productrices de films cinématographiques, d'émissions de télévision, de radio et de jeux vidéos"
51120.01,Travailleurs autonomes,"Producteurs/productrices de films cinématographiques, d'émissions de télévision, de radio et de jeux vidéos"
51120.01,Studios d'enregistrement du son,"Producteurs/productrices de films cinématographiques, d'émissions de télévision, de radio et de jeux vidéos"
51120.01,Stations de télévision,"Producteurs/productrices de films cinématographiques, d'émissions de télévision, de radio et de jeux vidéos"
51120.01,Entreprises de jeux vidéo,"Producteurs/productrices de films cinématographiques, d'émissions de télévision, de radio et de jeux vidéos"
51120.02,Compagnies de publicité,Réalisateurs/réalisatrices
51120.02,Services de radiodiffusion,Réalisateurs/réalisatrices
51120.02,Sociétés de production cinématographique,Réalisateurs/réalisatrices
51120.02,Stations de radio,Réalisateurs/réalisatrices
51120.02,Travailleurs autonomes,Réalisateurs/réalisatrices
51120.02,Stations de télévision,Réalisateurs/réalisatrices
51120.02,Troupes de théâtre,Réalisateurs/réalisatrices
51120.03,Compagnies de danse,Chorégraphes
51120.03,Sociétés de production cinématographique,Chorégraphes
51120.03,Travailleurs autonomes,Chorégraphes
51120.03,Troupes de théâtre,Chorégraphes
51120.04,Compagnies de publicité,Directeurs artistiques/directrices artistiques
51120.04,Services de radiodiffusion,Directeurs artistiques/directrices artistiques
51120.04,Sociétés de production cinématographique,Directeurs artistiques/directrices artistiques
51120.04,Travailleurs autonomes,Directeurs artistiques/directrices artistiques
51120.04,Stations de télévision,Directeurs artistiques/directrices artistiques
51120.04,Troupes de théâtre,Directeurs artistiques/directrices artistiques
51120.05,Compagnies de publicité,Monteurs/monteuses de films
51120.05,Services de radiodiffusion,Monteurs/monteuses de films
51120.05,Entreprises de production de disques,Monteurs/monteuses de films
51120.05,Travailleurs autonomes,Monteurs/monteuses de films
51120.05,Studios d'enregistrement du son,Monteurs/monteuses de films
51120.06,Entreprises de production de disques,Producteurs/productrices de disques
51120.06,Travailleurs autonomes,Producteurs/productrices de disques
51120.06,Studios d'enregistrement du son,Producteurs/productrices de disques
51120.07,Compagnies de publicité,Directeurs/directrices de la photographie
51120.07,Services de radiodiffusion,Directeurs/directrices de la photographie
51120.07,Travailleurs autonomes,Directeurs/directrices de la photographie
51120.07,Stations de télévision,Directeurs/directrices de la photographie
51121.01,Orchestres de chambre,Chefs d'orchestre
51121.01,Chorales,Chefs d'orchestre
51121.01,Groupes de musique,Chefs d'orchestre
51121.01,Compagnies d’opéra,Chefs d'orchestre
51121.01,"Orchestres de ballet, de théâtre ou d'opéra",Chefs d'orchestre
51121.01,Travailleurs autonomes,Chefs d'orchestre
51121.01,Compagnies d'enregistrement de son,Chefs d'orchestre
51121.01,Orchestres symphoniques,Chefs d'orchestre
51121.02,Orchestres de chambre,Compositeurs/compositrices
51121.02,Chorales,Compositeurs/compositrices
51121.02,Groupes de musique,Compositeurs/compositrices
51121.02,Compagnies d’opéra,Compositeurs/compositrices
51121.02,"Orchestres de ballet, de théâtre ou d'opéra",Compositeurs/compositrices
51121.02,Travailleurs autonomes,Compositeurs/compositrices
51121.02,Compagnies d'enregistrement de son,Compositeurs/compositrices
51121.02,Orchestres symphoniques,Compositeurs/compositrices
51121.03,Orchestres de chambre,Arrangeurs/arrangeuses
51121.03,Chorales,Arrangeurs/arrangeuses
51121.03,Groupes de musique,Arrangeurs/arrangeuses
51121.03,Compagnies d’opéra,Arrangeurs/arrangeuses
51121.03,"Orchestres de ballet, de théâtre ou d'opéra",Arrangeurs/arrangeuses
51121.03,Travailleurs autonomes,Arrangeurs/arrangeuses
51121.03,Compagnies d'enregistrement de son,Arrangeurs/arrangeuses
51121.03,Orchestres symphoniques,Arrangeurs/arrangeuses
51122.01,Chorales,Musiciens/musiciennes
51122.01,Salles de concert,Musiciens/musiciennes
51122.01,Productions cinématographiques,Musiciens/musiciennes
51122.01,Salons,Musiciens/musiciennes
51122.01,Compagnies d’opéra,Musiciens/musiciennes
51122.01,Orchestres,Musiciens/musiciennes
51122.01,Formations populaires,Musiciens/musiciennes
51122.01,Studio d'enregistrement,Musiciens/musiciennes
51122.01,Studios de télévision,Musiciens/musiciennes
51122.01,Théâtres,Musiciens/musiciennes
51122.02,Chorales,Chanteurs/chanteuses
51122.02,Salles de concert,Chanteurs/chanteuses
51122.02,Productions cinématographiques,Chanteurs/chanteuses
51122.02,Salons,Chanteurs/chanteuses
51122.02,Compagnies d’opéra,Chanteurs/chanteuses
51122.02,Formations populaires,Chanteurs/chanteuses
51122.02,Studio d'enregistrement,Chanteurs/chanteuses
51122.02,Studios de télévision,Chanteurs/chanteuses
51122.02,Théâtres,Chanteurs/chanteuses
51122.03,Académies,Professeurs/professeures de musique et de chant
51122.03,Conservatoires,Professeurs/professeures de musique et de chant
51122.03,Maisons privées,Professeurs/professeures de musique et de chant
51122.03,Travail autonome,Professeurs/professeures de musique et de chant
52100.01,Services de bibliothèque dans les secteurs public et privé,Techniciens/techniciennes dans les bibliothèques
52100.01,Bibliothèques,Techniciens/techniciennes dans les bibliothèques
52100.02,Archives public,Techniciens/techniciennes dans les services d'archives publiques
52110.00,Services informatiques des secteurs privé et public,Cadreurs/cadreuses de films et cadreurs/cadreuses vidéo
52110.00,Compagnies de production de films et de vidéo,Cadreurs/cadreuses de films et cadreurs/cadreuses vidéo
52110.00,Travailleurs autonomes,Cadreurs/cadreuses de films et cadreurs/cadreuses vidéo
52110.00,Stations et réseaux de télévision,Cadreurs/cadreuses de films et cadreurs/cadreuses vidéo
52110.00,Entreprises de production de vidéos,Cadreurs/cadreuses de films et cadreurs/cadreuses vidéo
52111.00,Agences de publicité,Techniciens/techniciennes en graphisme
52111.00,Agences de publicité ou de marketing,Techniciens/techniciennes en graphisme
52111.00,Centres de production multimédias,Techniciens/techniciennes en graphisme
52111.00,Imprimeries,Techniciens/techniciennes en graphisme
52111.00,Maisons d'édition,Techniciens/techniciennes en graphisme
52111.00,Travailleurs autonomes,Techniciens/techniciennes en graphisme
52111.00,Compagnies de production télévisuelle et cinématographique,Techniciens/techniciennes en graphisme
52112.00,Entreprises et chaînes de radiotélédiffusion,Techniciens/techniciennes en radiotélédiffusion
52112.00,Fournisseurs de services de communication sur Internet,Techniciens/techniciennes en radiotélédiffusion
52112.00,Fournisseurs de services de communication sur Internet et de Stations et réseaux de radio,Techniciens/techniciennes en radiotélédiffusion
52113.00,Clubs,Techniciens/techniciennes en enregistrement audio et vidéo
52113.00,Entreprises d'enregistrement de son,Techniciens/techniciennes en enregistrement audio et vidéo
52113.00,Établissements d'enseignement,Techniciens/techniciennes en enregistrement audio et vidéo
52113.00,"Compagnies de production cinématographique, de production de vidéos et de concerts",Techniciens/techniciennes en enregistrement audio et vidéo
52113.00,Hôtels,Techniciens/techniciennes en enregistrement audio et vidéo
52113.00,Centres de production multimédia,Techniciens/techniciennes en enregistrement audio et vidéo
52113.00,Groupes de musique,Techniciens/techniciennes en enregistrement audio et vidéo
52113.00,Fournisseurs de services de communication sur Internet et de Stations et réseaux de radio,Techniciens/techniciennes en enregistrement audio et vidéo
52113.00,Troupes de théâtre et de danse,Techniciens/techniciennes en enregistrement audio et vidéo
52114.00,Entreprises de publicité à la radio ou à la télévision,Annonceurs/annonceuses et autres communicateurs/communicatrices
52114.00,Fournisseurs de services de communication sur Internet et de Stations et réseaux de radio,Annonceurs/annonceuses et autres communicateurs/communicatrices
52119.01,Compagnies de promotion de concerts,Régisseurs/régisseures de plateau
52119.01,Compagnies de production de films et de vidéo,Régisseurs/régisseures de plateau
52119.01,Studio d'enregistrement,Régisseurs/régisseures de plateau
52119.01,Stations et réseaux de télévision,Régisseurs/régisseures de plateau
52119.01,Troupes et compagnies de théâtre et de danse,Régisseurs/régisseures de plateau
52119.02,Compagnies de promotion de concerts,Chefs machinistes de plateau
52119.02,Compagnies de production de films et de vidéo,Chefs machinistes de plateau
52119.02,Studio d'enregistrement,Chefs machinistes de plateau
52119.02,Stations et réseaux de télévision et de radio,Chefs machinistes de plateau
52119.02,Troupes et compagnies de théâtre et de danse,Chefs machinistes de plateau
52119.03,Compagnies de promotion de concerts,Chefs électriciens/chefs électriciennes de plateau et éclairagistes
52119.03,Compagnies de production de films et de vidéo,Chefs électriciens/chefs électriciennes de plateau et éclairagistes
52119.03,Studio d'enregistrement,Chefs électriciens/chefs électriciennes de plateau et éclairagistes
52119.03,Stations et réseaux de télévision et de radio,Chefs électriciens/chefs électriciennes de plateau et éclairagistes
52119.03,Troupes et compagnies de théâtre et de danse,Chefs électriciens/chefs électriciennes de plateau et éclairagistes
52119.04,Compagnies de promotion de concerts,Coordonnateurs/coordonnatrices des cascades et truqueurs/truqueuses
52119.04,Compagnies de production de films et de vidéo,Coordonnateurs/coordonnatrices des cascades et truqueurs/truqueuses
52119.04,Studio d'enregistrement,Coordonnateurs/coordonnatrices des cascades et truqueurs/truqueuses
52119.04,Stations et réseaux de télévision et de radio,Coordonnateurs/coordonnatrices des cascades et truqueurs/truqueuses
52119.04,Troupes et compagnies de théâtre et de danse,Coordonnateurs/coordonnatrices des cascades et truqueurs/truqueuses
52119.05,Compagnies de promotion de concerts,Maquilleurs/maquilleuses
52119.05,Compagnies de production de films et de vidéo,Maquilleurs/maquilleuses
52119.05,Studio d'enregistrement,Maquilleurs/maquilleuses
52119.05,Stations et réseaux de télévision et de radio,Maquilleurs/maquilleuses
52119.05,Troupes et compagnies de théâtre et de danse,Maquilleurs/maquilleuses
52119.06,Compagnies de promotion de concerts,Costumiers/costumières
52119.06,Compagnies de production de films et de vidéo,Costumiers/costumières
52119.06,Stations et réseaux de télévision,Costumiers/costumières
52119.06,Troupes et compagnies de théâtre et de danse,Costumiers/costumières
52119.07,Compagnies de promotion de concerts,Chefs d'atelier de décors et chefs accessoiristes
52119.07,Compagnies de production de films et de vidéo,Chefs d'atelier de décors et chefs accessoiristes
52119.07,Stations et réseaux de télévision,Chefs d'atelier de décors et chefs accessoiristes
52119.07,Troupes et compagnies de théâtre et de danse,Chefs d'atelier de décors et chefs accessoiristes
52120.01,Entreprises de publicité,Designers graphiques
52120.01,Établissements dispensant des services de publicité ou de communication,Designers graphiques
52120.01,Entreprises de design graphique,Designers graphiques
52120.01,Centres de production multimédias,Designers graphiques
52120.01,Travailleurs autonomes,Designers graphiques
52120.02,Travailleurs autonomes,Illustrateurs/illustratrices
52121.00,Lignes aériennes,Designers d'intérieur et décorateurs/décoratrices d'intérieur
52121.00,Cabinets d'architectes,Designers d'intérieur et décorateurs/décoratrices d'intérieur
52121.00,Compagnies de construction,Designers d'intérieur et décorateurs/décoratrices d'intérieur
52121.00,Centres hospitaliers,Designers d'intérieur et décorateurs/décoratrices d'intérieur
52121.00,Chaînes d'hôtel et de restaurants,Designers d'intérieur et décorateurs/décoratrices d'intérieur
52121.00,Firmes de design d'intérieur,Designers d'intérieur et décorateurs/décoratrices d'intérieur
52121.00,Établissements de commerce de détail,Designers d'intérieur et décorateurs/décoratrices d'intérieur
52121.00,Travail autonome,Designers d'intérieur et décorateurs/décoratrices d'intérieur
53100.01,Galeries d'art,Techniciens/techniciennes en restauration et en conservation
53100.01,Musées,Techniciens/techniciennes en restauration et en conservation
53100.02,Galeries d'art,Encadreurs/encadreuses de tableaux
53100.02,Musées,Encadreurs/encadreuses de tableaux
53100.03,Aquariums,Interprètes de musée
53100.03,Galeries d'art,Interprètes de musée
53100.03,Jardins botaniques,Interprètes de musée
53100.03,Centres culturels,Interprètes de musée
53100.03,Sites historiques et patrimoniaux,Interprètes de musée
53100.03,Services d'interprétation,Interprètes de musée
53100.03,Musées,Interprètes de musée
53100.03,Sanctuaires naturels,Interprètes de musée
53100.03,Parcs,Interprètes de musée
53100.03,Jardins zoologiques,Interprètes de musée
53100.04,Galeries d'art,"Adjoints/adjointes à la conservation, les agents/agentes des services de vulgarisation, les techniciens/techniciennes en muséologie et les catalogueurs/catalogueuses et registraires de musée"
53100.04,Musées,"Adjoints/adjointes à la conservation, les agents/agentes des services de vulgarisation, les techniciens/techniciennes en muséologie et les catalogueurs/catalogueuses et registraires de musée"
53100.05,Galeries d'art,Taxidermistes
53100.05,Musées,Taxidermistes
53100.05,Établissements de vente au détail,Taxidermistes
53100.05,Travailleurs autonomes,Taxidermistes
53110.00,Gouvernements,Photographes
53110.00,Magazines,Photographes
53110.00,Musées,Photographes
53110.00,Journaux,Photographes
53110.00,Studios de photographie,Photographes
53110.00,Travailleurs autonomes,Photographes
53111.01,Compagnies de production de films et de vidéo,Grutiers/grutières en cinéma et radiotélédiffusion
53111.01,Studio d'enregistrement,Grutiers/grutières en cinéma et radiotélédiffusion
53111.01,Stations et réseaux de télévision,Grutiers/grutières en cinéma et radiotélédiffusion
53111.01,Compagnies et troupes de théâtre,Grutiers/grutières en cinéma et radiotélédiffusion
53111.02,Compagnies de production de films et de vidéo,Projectionnistes de cinéma
53111.02,Studio d'enregistrement,Projectionnistes de cinéma
53111.02,Stations et réseaux de télévision,Projectionnistes de cinéma
53111.02,Compagnies et troupes de théâtre,Projectionnistes de cinéma
53111.03,Compagnies de production de films et de vidéo,Accessoiristes et constructeurs/constructrices de décors
53111.03,Studio d'enregistrement,Accessoiristes et constructeurs/constructrices de décors
53111.03,Stations et réseaux de télévision,Accessoiristes et constructeurs/constructrices de décors
53111.03,Compagnies et troupes de théâtre,Accessoiristes et constructeurs/constructrices de décors
53111.04,Compagnies de production de films et de vidéo,Assistants/assistantes au script
53111.04,Studio d'enregistrement,Assistants/assistantes au script
53111.04,Stations et réseaux de télévision et de radio,Assistants/assistantes au script
53111.04,Compagnies et troupes de théâtre,Assistants/assistantes au script
53111.05,Compagnies de production de films et de vidéo,Machinistes et monteurs-régleurs/monteuses-régleuses de plateau
53111.05,Stations et réseaux de télévision,Machinistes et monteurs-régleurs/monteuses-régleuses de plateau
53111.05,Compagnies et troupes de théâtre,Machinistes et monteurs-régleurs/monteuses-régleuses de plateau
53111.06,Compagnies de production de films et de vidéo,Habilleurs/habilleuses
53111.06,Stations et réseaux de télévision,Habilleurs/habilleuses
53111.06,Compagnies et troupes de théâtre,Habilleurs/habilleuses
53111.07,Compagnies de production de films et de vidéo,Assistants/assistants à la réalisation
53111.07,Studio d'enregistrement,Assistants/assistants à la réalisation
53111.07,Stations et réseaux de télévision et de radio,Assistants/assistants à la réalisation
53111.07,Compagnies et troupes de théâtre,Assistants/assistants à la réalisation
53120.01,Compagnies de danse et de ballet,Danseurs/danseuses
53120.01,Boîtes de nuit et établissements similaires,Danseurs/danseuses
53120.01,Compagnies de production télévisuelle et cinématographique,Danseurs/danseuses
53120.02,Académies de danse,Professeurs/professeures de danse
53120.02,Écoles de danse,Professeurs/professeures de danse
53121.01,Entreprises cinématographiques,Acteurs/actrices et comédiens/comédiennes
53121.01,Compagnies de production télévisuelle,Acteurs/actrices et comédiens/comédiennes
53121.01,Compagnies de production théâtrale,Acteurs/actrices et comédiens/comédiennes
53121.01,Entreprises de production de vidéos,Acteurs/actrices et comédiens/comédiennes
53121.02,Collèges,Professeurs/professeures d'art dramatique
53121.02,Écoles d'art dramatique,Professeurs/professeures d'art dramatique
53121.02,Universités,Professeurs/professeures d'art dramatique
53121.03,Cirques,Artistes de cirque
53121.03,Travail autonome,Artistes de cirque
53122.01,Travail autonome,Peintres
53122.02,Travail autonome,Sculpteurs/sculpteures
53122.03,Écoles d’art,Professeurs/professeures d'art
53122.03,Collèges,Professeurs/professeures d'art
53122.03,Travail autonome,Professeurs/professeures d'art
53122.03,Universités,Professeurs/professeures d'art
53123.01,Entreprises de radiotélédiffusion,Ensembliers/ensemblières de théâtre
53123.01,Festivals,Ensembliers/ensemblières de théâtre
53123.01,Industries des arts de la scène,Ensembliers/ensemblières de théâtre
53123.02,Entreprises de vêtements et de tissus,Dessinateurs/dessinatrices de mode
53123.02,Travail autonome,Dessinateurs/dessinatrices de mode
53123.03,Entreprises de fabrication,Concepteurs/conceptrices d'expositions
53123.03,Musées,Concepteurs/conceptrices d'expositions
53123.03,Établissements de commerce de détail,Concepteurs/conceptrices d'expositions
53123.03,Travail autonome,Concepteurs/conceptrices d'expositions
53124.01,Travail autonome,Artisans sculpteurs/artisanes sculpteures
53124.02,Travail autonome,Souffleurs/souffleuses de verre
53124.03,Travail autonome,Orfèvres
53124.04,Travail autonome,Potiers/potières
53124.05,Travail autonome,Artisans vitraillistes/artisanes vitraillistes
53124.06,Travail autonome,Confectionneurs/confectionneuses d'instruments musicaux
53124.07,Travail autonome,Tisserands/tisserandes
53124.08,Associations d'artisans,Professeurs/professeures d'artisanat
53124.08,Collèges,Professeurs/professeures d'artisanat
53124.08,Studios privés,Professeurs/professeures d'artisanat
53124.08,Centres récréatifs,Professeurs/professeures d'artisanat
53124.08,Travail autonome,Professeurs/professeures d'artisanat
53124.09,Fleuristeries de grands établissements commerciaux,Décorateurs floraux/décoratrices florales
53124.09,Fleuristes,Décorateurs floraux/décoratrices florales
53124.09,Travail autonome,Décorateurs floraux/décoratrices florales
53125.00,"Manufactures de produits en tissu, en fourrure et en cuir",Patronniers/patronnières de produits textiles et d'articles en cuir et en fourrure
53125.00,Fabricants de patrons,Patronniers/patronnières de produits textiles et d'articles en cuir et en fourrure
53125.00,Travail autonome,Patronniers/patronnières de produits textiles et d'articles en cuir et en fourrure
53200.00,Organismes d'équipes d'athlétisme professionnel,Athlètes
53200.00,Travail autonome,Athlètes
53201.01,Organisations sportives provinciales ou nationales,Entraîneurs/entraîneuses
53201.01,Équipes sportives professionnelles ou amateures,Entraîneurs/entraîneuses
53201.01,Travail autonome,Entraîneurs/entraîneuses
53201.01,Clubs athlétiques et universités,Entraîneurs/entraîneuses
53201.02,Organisations sportives professionnelles,Dépisteurs sportifs/dépisteuses sportives
53202.00,"Commissions, organisations et ligues sportives nationales, provinciales et locales",Arbitres et officiels/officielles de sports
54100.01,Centres communautaires,Animateurs/animatrices et responsables de programmes de sports et de loisirs
54100.01,Institutions correctionnelles,Animateurs/animatrices et responsables de programmes de sports et de loisirs
54100.01,Ministères gouvernementaux,Animateurs/animatrices et responsables de programmes de sports et de loisirs
54100.01,Établissements de soins de santé,Animateurs/animatrices et responsables de programmes de sports et de loisirs
54100.01,Centres de plein air,Animateurs/animatrices et responsables de programmes de sports et de loisirs
54100.01,Entreprises privées,Animateurs/animatrices et responsables de programmes de sports et de loisirs
54100.01,Installations de loisirs,Animateurs/animatrices et responsables de programmes de sports et de loisirs
54100.01,Lieux de villégiature,Animateurs/animatrices et responsables de programmes de sports et de loisirs
54100.01,Maisons de retraite,Animateurs/animatrices et responsables de programmes de sports et de loisirs
54100.01,Clubs sportifs et de conditionnement physique,Animateurs/animatrices et responsables de programmes de sports et de loisirs
54100.01,Entreprises de tourisme,Animateurs/animatrices et responsables de programmes de sports et de loisirs
54100.02,Centres communautaires,Évaluateurs/évaluatrices de la condition physique
54100.02,Gouvernement fédéral,Évaluateurs/évaluatrices de la condition physique
54100.02,Organismes de santé et de sport,Évaluateurs/évaluatrices de la condition physique
54100.02,Administrations municipales,Évaluateurs/évaluatrices de la condition physique
54100.02,Gouvernements provinciaux,Évaluateurs/évaluatrices de la condition physique
54100.02,Établissements récréatifs,Évaluateurs/évaluatrices de la condition physique
54100.02,Travail autonome,Évaluateurs/évaluatrices de la condition physique
54100.02,Cabinets et organismes d'experts-conseils en sports et en conditionnement physique,Évaluateurs/évaluatrices de la condition physique
55109.01,Travail autonome,Amuseurs publics/amuseuses publiques
55109.01,"Rues, parcs et centres commerciaux",Amuseurs publics/amuseuses publiques
55109.02,Compagnies de publicité,Magiciens/magiciennes et illusionnistes
55109.02,Cirques,Magiciens/magiciennes et illusionnistes
55109.02,Compagnies de production,Magiciens/magiciennes et illusionnistes
55109.02,Travail autonome,Magiciens/magiciennes et illusionnistes
55109.02,Théâtres,Magiciens/magiciennes et illusionnistes
55109.03,Compagnies de publicité,Mannequins et modèles
