Code de profil professionnel SIPeC,Lieux de travail/employeurs,Nom du profil professionnel SIPeC
13102.00,Établissements des secteurs privé et public,Administrateurs/administratrices de la paye
13102.00,Compagnies d'administration de la paye,Administrateurs/administratrices de la paye
13110.00,Établissements des secteurs privé et public,Adjoints administratifs/adjointes administratives
13111.00,Tous les ordres de gouvernement,Adjoints administratifs juridiques/adjointes administratives juridiques
13111.00,Tribunaux fédéraux,Adjoints administratifs juridiques/adjointes administratives juridiques
13111.00,Bureaux du cadastre,Adjoints administratifs juridiques/adjointes administratives juridiques
13111.00,Cabinets d'avocats,Adjoints administratifs juridiques/adjointes administratives juridiques
13111.00,Services juridiques des grandes entreprises,Adjoints administratifs juridiques/adjointes administratives juridiques
13111.00,Tribunaux municipaux,Adjoints administratifs juridiques/adjointes administratives juridiques
13111.00,Tribunaux provinciaux ou territoriaux,Adjoints administratifs juridiques/adjointes administratives juridiques
13111.00,Entreprises de développement immobilier,Adjoints administratifs juridiques/adjointes administratives juridiques
13112.00,Cabinets de médecins,Adjoints administratifs médicaux/adjointes administratives médicales
13112.00,Centres hospitaliers,Adjoints administratifs médicaux/adjointes administratives médicales
13112.00,Cliniques médicales,Adjoints administratifs médicaux/adjointes administratives médicales
13112.00,Divers milieux médicaux,Adjoints administratifs médicaux/adjointes administratives médicales
13200.01,Établissements de courtage,Courtiers/courtières en douanes
13200.01,Maisons de courtage en douanes,Courtiers/courtières en douanes
13200.01,Travailleurs autonomes,Courtiers/courtières en douanes
13200.02,Travailleurs autonomes,Courtiers maritimes/courtières maritimes
13200.02,Maisons de courtage maritime,Courtiers maritimes/courtières maritimes
13201.01,"Usines de fabrication, des firmes de construction",Coordonnateurs/coordonnatrices de la logistique de la production
13201.01,Autres établissements industriels,Coordonnateurs/coordonnatrices de la logistique de la production
13201.02,"Usines de fabrication, des firmes de construction",Coordonnateurs/coordonnatrices de la logistique du transport
13201.02,Autres établissements industriels,Coordonnateurs/coordonnatrices de la logistique du transport
14100.01,Établissements des secteurs privé et public,Employés de bureau – soutien général
14100.02,Établissements des secteurs privé et public,Commis au classement
14101.01,Centres hospitaliers,Réceptionnistes
14101.01,Cabinets de dentiste et de médcin,Réceptionnistes
14101.01,Bureaux dans les secteurs privé et public,Réceptionnistes
14101.02,Centres hospitaliers,Employés à l'admission dans un hôpital
14101.03,Centres hospitaliers,Standardistes et téléphonistes au service des abonnés absents
14101.03,Cabinets de dentiste et de médcin,Standardistes et téléphonistes au service des abonnés absents
14101.03,Bureaux dans les secteurs privé et public,Standardistes et téléphonistes au service des abonnés absents
14101.04,Compagnies de téléphone,Téléphonistes
14102.00,Services du personnel des secteurs privé et public,Commis des services du personnel
14103.00,Tribunaux fédéraux,Commis des services judiciaires et autres professions des services judiciaires
14103.00,Tribunaux municipaux,Commis des services judiciaires et autres professions des services judiciaires
14103.00,Tribunaux provinciaux ou territoriaux,Commis des services judiciaires et autres professions des services judiciaires
14110.01,Centres de contact,Intervieweurs/intervieweuses pour enquêtes
14110.01,Organismes et services gouvernementaux,Intervieweurs/intervieweuses pour enquêtes
14110.01,Entreprises d'études de marché et maisons de sondage,Intervieweurs/intervieweuses pour enquêtes
14110.01,Autres établissements,Intervieweurs/intervieweuses pour enquêtes
14110.01,Services d'utilité publique,Intervieweurs/intervieweuses pour enquêtes
14110.02,Centres de contact,Commis aux statistiques
14110.02,Organismes et services gouvernementaux,Commis aux statistiques
14110.02,Entreprises d'études de marché et maisons de sondage,Commis aux statistiques
14110.02,Autres établissements,Commis aux statistiques
14110.02,Services d'utilité publique,Commis aux statistiques
14111.00,Établissements des secteurs privé et public,Commis à la saisie de données
14112.01,Imprimeries commerciales,Opérateurs/opératrices d'équipement d'éditique
14112.01,Entreprises spécialisées en composition,Opérateurs/opératrices d'équipement d'éditique
14112.01,Services d'imprimerie d'établissements des secteurs privé et public,Opérateurs/opératrices d'équipement d'éditique
14112.01,Maisons d'édition et d'imprimerie,Opérateurs/opératrices d'équipement d'éditique
14112.02,Imprimeries commerciales,Préposés à la saisie et la sortie des données (composition)
14112.02,Entreprises spécialisées en composition,Préposés à la saisie et la sortie des données (composition)
14112.02,Services d'imprimerie d'établissements des secteurs privé et public,Préposés à la saisie et la sortie des données (composition)
14112.02,Maisons d'édition et d'imprimerie,Préposés à la saisie et la sortie des données (composition)
14200.00,Établissements des secteurs privé et public,Commis à la comptabilité et personnel assimilé
14201.01,Banques,Commis de banque
14201.01,Sociétés de crédit,Commis de banque
14201.02,Établissements financiers des secteurs privé et public,Commis d'assurance
14201.02,Compagnies d'assurance des secteurs privé et public,Commis d'assurance
14201.03,Sociétés de crédit,Autres commis de services financiers
14201.03,Établissements financiers des secteurs privé et public,Autres commis de services financiers
14201.03,Sociétés de placements,Autres commis de services financiers
14202.00,Banques,Commis de recouvrement
14202.00,Agences de recouvrement,Commis de recouvrement
14202.00,Sociétés de fiducie,Commis de recouvrement
14202.00,Grands magasins,Commis de recouvrement
14202.00,Services financiers et de délivrance des permis des gouvernements,Commis de recouvrement
14202.00,Sociétés de prêts,Commis de recouvrement
14202.00,Services d'utilité publique,Commis de recouvrement
14300.00,Services de bibliothèque dans les secteurs public et privé,Commis et assistants/assistantes dans les bibliothèques
14300.00,Bibliothèques,Commis et assistants/assistantes dans les bibliothèques
14301.01,Établissements des secteurs privé et public,Commis aux petites annonces
14301.01,Journaux,Commis aux petites annonces
14301.01,Périodiques,Commis aux petites annonces
14301.01,Maisons d'édition,Commis aux petites annonces
14301.02,Établissements des secteurs privé et public,Correspondanciers/correspondancières
